ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-21T15:21:53.915
endDateTime, 2021-03-21T15:22:48.956
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 55.0411
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-03-21T15:21:54.149, 2021-03-21T15:22:29.500, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 35.3503, 35.3503, Done, 
5, Put UUT, 2021-03-21T15:22:29.668, 2021-03-21T15:22:31.838, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 2.17081, Failed, 
6, Power Off, 2021-03-21T15:22:31.851, 2021-03-21T15:22:33.406, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.55471, 1.55471, Done, 
7, DC Power Off, 2021-03-21T15:22:33.412, 2021-03-21T15:22:33.932, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.520798, 0.520798, Done, 
8, Wait 10, 2021-03-21T15:22:33.945, 2021-03-21T15:22:48.946, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0015, 15.0015, Done, 
