ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-01-30T06:12:43.037
endDateTime, 2021-01-30T06:13:36.286
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 53.2497
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-01-30T06:12:43.174, 2021-01-30T06:13:17.058, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 33.8842, 33.8842, Done, 
5, Put UUT, 2021-01-30T06:13:17.066, 2021-01-30T06:13:20.683, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 3.61685, Failed, 
6, Power Off, 2021-01-30T06:13:20.694, 2021-01-30T06:13:20.870, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.175562, 0.175562, Done, 
7, DC Power Off, 2021-01-30T06:13:20.882, 2021-01-30T06:13:21.245, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.362154, 0.362154, Done, 
8, Wait 10, 2021-01-30T06:13:21.257, 2021-01-30T06:13:36.259, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.002, 15.002, Done, 
