ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-17T10:27:45.693
endDateTime, 2021-03-17T10:28:42.863
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 57.1702
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-03-17T10:27:45.836, 2021-03-17T10:28:19.741, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 33.9042, 33.9042, Done, 
5, Put UUT, 2021-03-17T10:28:19.748, 2021-03-17T10:28:27.251, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 7.50265, Failed, 
6, Power Off, 2021-03-17T10:28:27.262, 2021-03-17T10:28:27.473, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.210692, 0.210692, Done, 
7, DC Power Off, 2021-03-17T10:28:27.483, 2021-03-17T10:28:27.836, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.352846, 0.352846, Done, 
8, Wait 10, 2021-03-17T10:28:27.849, 2021-03-17T10:28:42.851, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0021, 15.0021, Done, 
