ID, administrator
name, administrator
ID, 358
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-02-02T20:47:28.524
endDateTime, 2021-02-02T20:52:09.395
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 280.872
ModuleTime, 280.872
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
359, Load Bio Rad DLL, 2021-02-02T20:47:28.556, 2021-02-02T20:47:28.557, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0009521, 0.0009521, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
360, Put UUT, 2021-02-02T20:47:28.583, 2021-02-02T20:47:34.012, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 5.42934, 5.42934, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
361, DC Power On, 2021-02-02T20:47:34.020, 2021-02-02T20:47:34.315, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.295585, 0.295585, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
362, AC Power On, 2021-02-02T20:47:34.320, 2021-02-02T20:47:34.489, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.168509, 0.168509, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
363, Find Attached Devices, 2021-02-02T20:47:34.499, 2021-02-02T20:47:50.526, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0269, 16.0269, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
364, 12.8V No Load Test, 2021-02-02T20:47:50.533, 2021-02-02T20:47:51.800, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.26684, 1.26684, Passed, Numeric, 12.7960417, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
365, 12.8V Load 30W, 2021-02-02T20:47:51.801, 2021-02-02T20:47:53.346, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.54517, 1.54517, Passed, Numeric, 12.4882917, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
366, 5V No Load Test, 2021-02-02T20:47:53.359, 2021-02-02T20:47:54.103, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.744592, 0.744592, Passed, Numeric, 5.08235072, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
367, 5V 600mA Load, 2021-02-02T20:47:54.109, 2021-02-02T20:47:55.346, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23734, 1.23734, Passed, Numeric, 5.03378188, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
368, 3.3V Voltage Check, 2021-02-02T20:47:55.359, 2021-02-02T20:47:56.120, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.761773, 0.761773, Passed, Numeric, 3.3059907, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
