ID, administrator
name, administrator
ID, 2865
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-06-21T08:16:47.062
endDateTime, 2021-06-21T08:20:25.451
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 218.389
ModuleTime, 218.389
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
2866, Load Bio Rad DLL, 2021-06-21T08:16:47.100, 2021-06-21T08:16:47.102, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013545, 0.0013545, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2867, Put UUT, 2021-06-21T08:16:47.120, 2021-06-21T08:16:58.299, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 11.1788, 11.1788, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2868, DC Power On, 2021-06-21T08:16:58.304, 2021-06-21T08:16:58.604, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.300644, 0.300644, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2869, AC Power On, 2021-06-21T08:16:58.609, 2021-06-21T08:16:58.754, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.145041, 0.145041, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2870, Find Attached Devices, 2021-06-21T08:16:58.764, 2021-06-21T08:17:25.435, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 26.6703, 26.6703, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
2871, 12.8V No Load Test, 2021-06-21T08:17:25.447, 2021-06-21T08:17:26.681, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.23465, 1.23465, Passed, Numeric, 12.8320749, AND, LimitPair, N.A, volt, 12.16, 13.44, 
2872, 12.8V Load 30W, 2021-06-21T08:17:26.687, 2021-06-21T08:17:28.035, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.34838, 1.34838, Passed, Numeric, 12.6850247, AND, LimitPair, N.A, volt, 12.16, 13.44, 
2873, 5V No Load Test, 2021-06-21T08:17:28.048, 2021-06-21T08:17:28.775, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.727285, 0.727285, Passed, Numeric, 5.07611104, AND, LimitPair, N.A, volt, 4.75, 5.25, 
2874, 5V 600mA Load, 2021-06-21T08:17:28.780, 2021-06-21T08:17:30.035, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25526, 1.25526, Passed, Numeric, 5.06722297, AND, LimitPair, N.A, volt, 4.75, 5.25, 
2875, 3.3V Voltage Check, 2021-06-21T08:17:30.048, 2021-06-21T08:17:30.769, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.720682, 0.720682, Passed, Numeric, 3.31170457, AND, LimitPair, N.A, volt, 2.85, 3.45, 
