ID, administrator
name, administrator
ID, 215
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-11-20T13:26:28.404
endDateTime, 2021-11-20T13:27:11.936
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 43.5329
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
216, Load Bio Rad DLL, 2021-11-20T13:26:28.444, 2021-11-20T13:26:28.458, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0136447, 0.0136447, Done, 
217, Put UUT, 2021-11-20T13:26:28.465, 2021-11-20T13:26:56.480, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 28.0155, Failed, 
218, Power Off, 2021-11-20T13:26:56.493, 2021-11-20T13:26:56.558, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.0653567, 0.0653567, Done, 
219, DC Power Off, 2021-11-20T13:26:56.570, 2021-11-20T13:26:56.911, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.340738, 0.340738, Done, 
220, Wait 10, 2021-11-20T13:26:56.923, 2021-11-20T13:27:11.924, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0005, 15.0005, Done, 
