ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-07T04:15:09.908
endDateTime, 2020-09-07T04:16:03.035
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 53.1272
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2020-09-07T04:15:10.087, 2020-09-07T04:15:43.952, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 33.8653, 33.8653, Done, 
5, Put UUT, 2020-09-07T04:15:43.962, 2020-09-07T04:15:45.962, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 1.99986, Failed, 
6, Power Off, 2020-09-07T04:15:45.987, 2020-09-07T04:15:47.672, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.68473, 1.68473, Done, 
7, DC Power Off, 2020-09-07T04:15:47.676, 2020-09-07T04:15:48.026, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.349909, 0.349909, Done, 
8, Wait 10, 2020-09-07T04:15:48.030, 2020-09-07T04:16:03.031, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0008, 15.0008, Done, 
