ID, administrator
name, administrator
ID, 1938
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-13T17:13:50.355
endDateTime, 2021-03-13T17:14:08.837
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 18.482
ModuleTime, 18.482
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
1939, Load Bio Rad DLL, 2021-03-13T17:13:50.392, 2021-03-13T17:13:50.393, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013989, 0.0013989, Done, 
1940, Put UUT, 2021-03-13T17:13:50.410, 2021-03-13T17:13:53.371, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 2.96023, Failed, 
1941, Power Off, 2021-03-13T17:13:53.383, 2021-03-13T17:13:53.492, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.109926, 0.109926, Done, 
1942, DC Power Off, 2021-03-13T17:13:53.496, 2021-03-13T17:13:53.812, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.31643, 0.31643, Done, 
1943, Wait 10, 2021-03-13T17:13:53.825, 2021-03-13T17:14:08.825, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0005, 15.0005, Done, 
