ID, administrator
name, administrator
ID, 639
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-04-11T09:28:13.712
endDateTime, 2021-04-11T09:34:53.327
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 399.615
ModuleTime, 399.615
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
640, Load Bio Rad DLL, 2021-04-11T09:28:13.768, 2021-04-11T09:28:13.769, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0010541, 0.0010541, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
641, Put UUT, 2021-04-11T09:28:13.786, 2021-04-11T09:28:15.532, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.74608, 1.74608, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
642, DC Power On, 2021-04-11T09:28:15.536, 2021-04-11T09:28:16.103, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.567658, 0.567658, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
643, AC Power On, 2021-04-11T09:28:16.108, 2021-04-11T09:28:16.263, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.154671, 0.154671, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
644, Find Attached Devices, 2021-04-11T09:28:16.273, 2021-04-11T09:28:33.240, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.9673, 16.9673, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
645, 12.8V No Load Test, 2021-04-11T09:28:33.252, 2021-04-11T09:28:34.646, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.39404, 1.39404, Passed, Numeric, 12.8184184, AND, LimitPair, N.A, volt, 12.16, 13.44, 
646, 12.8V Load 30W, 2021-04-11T09:28:34.648, 2021-04-11T09:28:35.844, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.19613, 1.19613, Passed, Numeric, 12.6758784, AND, LimitPair, N.A, volt, 12.16, 13.44, 
647, 5V No Load Test, 2021-04-11T09:28:35.857, 2021-04-11T09:28:36.602, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.745318, 0.745318, Passed, Numeric, 5.07271201, AND, LimitPair, N.A, volt, 4.75, 5.25, 
648, 5V 600mA Load, 2021-04-11T09:28:36.608, 2021-04-11T09:28:37.844, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23645, 1.23645, Passed, Numeric, 5.06713493, AND, LimitPair, N.A, volt, 4.75, 5.25, 
649, 3.3V Voltage Check, 2021-04-11T09:28:37.856, 2021-04-11T09:28:38.588, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.732284, 0.732284, Passed, Numeric, 3.31613456, AND, LimitPair, N.A, volt, 2.85, 3.45, 
650, Battery Voltage Check, 2021-04-11T09:28:38.600, 2021-04-11T09:28:39.349, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.749406, 0.749406, Passed, Numeric, 3.2079994, AND, LimitPair, N.A, volt, 2.85, 3.45, 
651, Wait 10, 2021-04-11T09:28:39.354, 2021-04-11T09:28:49.355, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0006, 10.0006, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
652, Remote Command Set, 2021-04-11T09:28:49.359, 2021-04-11T09:29:51.470, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 62.1115, 62.1115, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
