ID, administrator
name, administrator
ID, 3183
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-04-02T06:18:45.072
endDateTime, 2021-04-02T06:23:43.424
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 298.353
ModuleTime, 298.353
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
3184, Load Bio Rad DLL, 2021-04-02T06:18:45.110, 2021-04-02T06:18:45.111, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012919, 0.0012919, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3185, Put UUT, 2021-04-02T06:18:45.127, 2021-04-02T06:19:08.544, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 23.417, 23.417, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3186, DC Power On, 2021-04-02T06:19:08.550, 2021-04-02T06:19:08.864, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.314055, 0.314055, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3187, AC Power On, 2021-04-02T06:19:08.869, 2021-04-02T06:19:09.041, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.17171, 0.17171, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3188, Find Attached Devices, 2021-04-02T06:19:09.051, 2021-04-02T06:19:44.147, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0956, 35.0956, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
3189, 12.8V No Load Test, 2021-04-02T06:19:44.159, 2021-04-02T06:19:45.435, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.27601, 1.27601, Passed, Numeric, 12.7783015, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
3190, 12.8V Load 30W, 2021-04-02T06:19:45.440, 2021-04-02T06:19:46.786, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.34629, 1.34629, Passed, Numeric, 12.6357274, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
3191, 5V No Load Test, 2021-04-02T06:19:46.798, 2021-04-02T06:19:47.531, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.732727, 0.732727, Passed, Numeric, 5.11445784, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
3192, 5V 600mA Load, 2021-04-02T06:19:47.536, 2021-04-02T06:19:48.786, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.24986, 1.24986, Passed, Numeric, 5.09813329, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
3193, 3.3V Voltage Check, 2021-04-02T06:19:48.798, 2021-04-02T06:19:49.531, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.732367, 0.732367, Passed, Numeric, 3.30832711, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
3194, Battery Voltage Check, 2021-04-02T06:19:49.541, 2021-04-02T06:19:50.271, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.729607, 0.729607, Passed, Numeric, 3.21023969, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
3195, Wait 10, 2021-04-02T06:19:50.275, 2021-04-02T06:20:00.276, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3196, Remote Command Set, 2021-04-02T06:20:00.279, 2021-04-02T06:21:01.914, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.6349, 61.6349, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3197, Initialize SRAM and HC12, 2021-04-02T06:21:01.920, 2021-04-02T06:21:11.416, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49556, 9.49556, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3198, I2C Read Write Test, 2021-04-02T06:21:11.426, 2021-04-02T06:21:14.343, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.91697, 2.91697, Passed, Alpha VCC, 5.114625219, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3199, Get VCC Sensor Value, 2021-04-02T06:21:14.349, 2021-04-02T06:21:14.361, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0121272, 0.0121272, Passed, Numeric, 4.99224, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
3200, Get 15V Sensor Value, 2021-04-02T06:21:14.366, 2021-04-02T06:21:14.378, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0126339, 0.0126339, Passed, Numeric, 12.94968, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
3201, Get Power Sensor Value, 2021-04-02T06:21:14.383, 2021-04-02T06:21:14.395, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0118227, 0.0118227, Passed, Numeric, 39.1272, AND, LimitPair, N.A, volt, 38, 42, N.A, 
3202, Lid Left Sensor Test, 2021-04-02T06:21:14.399, 2021-04-02T06:21:14.410, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0113082, 0.0113082, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
3203, Lid Right Sensor Test, 2021-04-02T06:21:14.415, 2021-04-02T06:21:14.426, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0115063, 0.0115063, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
3204, HS Left Sensor Test, 2021-04-02T06:21:14.431, 2021-04-02T06:21:14.442, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0115863, 0.0115863, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
3205, HS Right Sensor Test, 2021-04-02T06:21:14.447, 2021-04-02T06:21:14.458, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0116441, 0.0116441, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
3206, Get Amp2 Sensor Value, 2021-04-02T06:21:14.463, 2021-04-02T06:21:14.476, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0130739, 0.0130739, Passed, Numeric, 22.8, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
3207, Get Amp Sensor Value, 2021-04-02T06:21:14.480, 2021-04-02T06:21:14.492, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0117365, 0.0117365, Passed, Numeric, 22.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
3208, Get Power Supply Sensor Value, 2021-04-02T06:21:14.497, 2021-04-02T06:21:14.509, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0119781, 0.0119781, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
3209, SRAM Page 0 Check, 2021-04-02T06:21:14.520, 2021-04-02T06:22:03.520, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 48.9996, 48.9996, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3210, SRAM Page 1 Check, 2021-04-02T06:22:03.527, 2021-04-02T06:22:04.026, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.498177, 0.498177, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3211, SRAM Page 2 Check, 2021-04-02T06:22:04.030, 2021-04-02T06:22:04.446, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.415823, 0.415823, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3212, SRAM Page 3 Check, 2021-04-02T06:22:04.450, 2021-04-02T06:22:04.935, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.484714, 0.484714, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3213, Power Cycle Unit, 2021-04-02T06:22:04.940, 2021-04-02T06:22:31.125, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 26.1846, 26.1846, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3214, Battery Backup Test, 2021-04-02T06:22:31.130, 2021-04-02T06:22:32.347, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.21712, 1.21712, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3215, Block Sensor 0 Check, 2021-04-02T06:22:32.363, 2021-04-02T06:22:32.375, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0125846, 0.0125846, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
3216, Block Sensor 1 Check, 2021-04-02T06:22:32.380, 2021-04-02T06:22:32.394, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0137284, 0.0137284, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
3217, Block Sensor 2 Check, 2021-04-02T06:22:32.401, 2021-04-02T06:22:32.412, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0111344, 0.0111344, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
3218, Block Sensor 3 Check, 2021-04-02T06:22:32.444, 2021-04-02T06:22:32.454, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0102035, 0.0102035, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
3219, Block Sensor 4 Check, 2021-04-02T06:22:32.463, 2021-04-02T06:22:32.473, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0099588, 0.0099588, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
3220, Block Sensor 5 Check, 2021-04-02T06:22:32.482, 2021-04-02T06:22:32.494, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0116486, 0.0116486, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
