ID, administrator
name, administrator
ID, 2441
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-06-20T16:23:46.526
endDateTime, 2021-06-20T16:31:09.525
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 443
ModuleTime, 443
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2442, Load Bio Rad DLL, 2021-06-20T16:23:46.562, 2021-06-20T16:23:46.563, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012402, 0.0012402, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2443, Put UUT, 2021-06-20T16:23:46.581, 2021-06-20T16:23:49.551, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.96935, 2.96935, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2444, DC Power On, 2021-06-20T16:23:49.558, 2021-06-20T16:23:49.859, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.301034, 0.301034, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2445, AC Power On, 2021-06-20T16:23:49.864, 2021-06-20T16:23:50.002, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.138157, 0.138157, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2446, Find Attached Devices, 2021-06-20T16:23:50.013, 2021-06-20T16:24:06.017, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0046, 16.0046, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2447, 12.8V No Load Test, 2021-06-20T16:24:06.029, 2021-06-20T16:24:07.285, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.25521, 1.25521, Passed, Numeric, 12.840128, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2448, 12.8V Load 30W, 2021-06-20T16:24:07.290, 2021-06-20T16:24:08.514, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.22363, 1.22363, Passed, Numeric, 12.694599, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2449, 5V No Load Test, 2021-06-20T16:24:08.526, 2021-06-20T16:24:09.241, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.714921, 0.714921, Passed, Numeric, 5.11055614, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2450, 5V 600mA Load, 2021-06-20T16:24:09.246, 2021-06-20T16:24:10.513, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26674, 1.26674, Passed, Numeric, 5.0107974, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2451, 3.3V Voltage Check, 2021-06-20T16:24:10.525, 2021-06-20T16:24:11.271, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.746021, 0.746021, Passed, Numeric, 3.29897637, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2452, Battery Voltage Check, 2021-06-20T16:24:11.282, 2021-06-20T16:24:12.007, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.724826, 0.724826, Passed, Numeric, 3.21859898, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2453, Wait 10, 2021-06-20T16:24:12.012, 2021-06-20T16:24:22.012, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
