ID, administrator
name, administrator
ID, 1147
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-13T18:42:17.529
endDateTime, 2022-04-13T18:49:58.707
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 461.179
ModuleTime, 461.179
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
1148, Load Bio Rad DLL, 2022-04-13T18:42:17.563, 2022-04-13T18:42:17.564, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0007965, 0.0007965, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1149, Put UUT, 2022-04-13T18:42:17.590, 2022-04-13T18:42:21.906, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.31524, 4.31524, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1150, DC Power On, 2022-04-13T18:42:21.913, 2022-04-13T18:42:22.252, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.339064, 0.339064, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1151, AC Power On, 2022-04-13T18:42:22.257, 2022-04-13T18:42:22.426, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.168751, 0.168751, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1152, Find Attached Devices, 2022-04-13T18:42:22.436, 2022-04-13T18:42:38.358, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.9217, 15.9217, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
1153, 12.8V No Load Test, 2022-04-13T18:42:38.361, 2022-04-13T18:42:39.589, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22864, 1.22864, Passed, Numeric, 12.7328475, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1154, 12.8V Load 30W, 2022-04-13T18:42:39.591, 2022-04-13T18:42:40.891, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.30031, 1.30031, Passed, Numeric, 12.3310312, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1155, 5V No Load Test, 2022-04-13T18:42:40.904, 2022-04-13T18:42:41.630, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.726162, 0.726162, Passed, Numeric, 5.0802311, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1156, 5V 600mA Load, 2022-04-13T18:42:41.635, 2022-04-13T18:42:42.891, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.2562, 1.2562, Passed, Numeric, 5.06284864, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1157, 3.3V Voltage Check, 2022-04-13T18:42:42.904, 2022-04-13T18:42:43.632, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.728116, 0.728116, Passed, Numeric, 3.31607496, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1158, Battery Voltage Check, 2022-04-13T18:42:43.643, 2022-04-13T18:42:44.383, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.740394, 0.740394, Passed, Numeric, 3.22531799, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1159, Wait 10, 2022-04-13T18:42:44.389, 2022-04-13T18:42:54.389, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1160, Remote Command Set, 2022-04-13T18:42:54.393, 2022-04-13T18:43:56.081, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.6879, 61.6879, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1161, Initialize SRAM and HC12, 2022-04-13T18:43:56.082, 2022-04-13T18:44:05.570, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48753, 9.48753, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1162, I2C Read Write Test, 2022-04-13T18:44:05.582, 2022-04-13T18:44:08.561, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.97932, 2.97932, Passed, Alpha VCC, 5.080592117, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1163, Get VCC Sensor Value, 2022-04-13T18:44:08.567, 2022-04-13T18:44:08.580, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0126659, 0.0126659, Passed, Numeric, 4.99224, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1164, Get 15V Sensor Value, 2022-04-13T18:44:08.585, 2022-04-13T18:44:08.599, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0140265, 0.0140265, Passed, Numeric, 12.99708, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1165, Get Power Sensor Value, 2022-04-13T18:44:08.604, 2022-04-13T18:44:08.617, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0128172, 0.0128172, Passed, Numeric, 39.3464, AND, LimitPair, N.A, volt, 38, 42, N.A, 
