ID, administrator
name, administrator
ID, 1955
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-13T21:51:01.272
endDateTime, 2022-04-13T21:55:08.812
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 247.54
ModuleTime, 247.54
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
1956, Load Bio Rad DLL, 2022-04-13T21:51:01.309, 2022-04-13T21:51:01.310, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011293, 0.0011293, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1957, Put UUT, 2022-04-13T21:51:01.327, 2022-04-13T21:51:03.032, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.70511, 1.70511, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1958, DC Power On, 2022-04-13T21:51:03.039, 2022-04-13T21:51:03.401, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.36137, 0.36137, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1959, AC Power On, 2022-04-13T21:51:03.406, 2022-04-13T21:51:03.570, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.16451, 0.16451, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1960, Find Attached Devices, 2022-04-13T21:51:03.639, 2022-04-13T21:51:38.729, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0904, 35.0904, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
1961, 12.8V No Load Test, 2022-04-13T21:51:38.742, 2022-04-13T21:51:40.047, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.30441, 1.30441, Passed, Numeric, 12.8150012, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1962, 12.8V Load 30W, 2022-04-13T21:51:40.053, 2022-04-13T21:51:41.402, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.34924, 1.34924, Passed, Numeric, 12.4294108, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1963, 5V No Load Test, 2022-04-13T21:51:41.415, 2022-04-13T21:51:42.143, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.72849, 0.72849, Passed, Numeric, 5.07525171, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1964, 5V 600mA Load, 2022-04-13T21:51:42.148, 2022-04-13T21:51:43.402, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25349, 1.25349, Passed, Numeric, 5.00931767, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1965, 3.3V Voltage Check, 2022-04-13T21:51:43.415, 2022-04-13T21:51:44.141, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.726598, 0.726598, Passed, Numeric, 3.29218062, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1966, Battery Voltage Check, 2022-04-13T21:51:44.152, 2022-04-13T21:51:44.898, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.745259, 0.745259, Passed, Numeric, 3.22876872, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1967, Wait 10, 2022-04-13T21:51:44.903, 2022-04-13T21:51:54.903, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1968, Remote Command Set, 2022-04-13T21:51:54.907, 2022-04-13T21:52:56.630, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.7232, 61.7232, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1969, Initialize SRAM and HC12, 2022-04-13T21:52:56.632, 2022-04-13T21:53:06.127, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49451, 9.49451, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1970, I2C Read Write Test, 2022-04-13T21:53:06.138, 2022-04-13T21:53:09.107, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.96858, 2.96858, Passed, Alpha VCC, 5.07645926, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1971, Get VCC Sensor Value, 2022-04-13T21:53:09.111, 2022-04-13T21:53:09.124, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0132626, 0.0132626, Passed, Numeric, 5.00688, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1972, Get 15V Sensor Value, 2022-04-13T21:53:09.130, 2022-04-13T21:53:09.148, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0182873, 0.0182873, Passed, Numeric, 13.13928, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1973, Get Power Sensor Value, 2022-04-13T21:53:09.152, 2022-04-13T21:53:09.164, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0126731, 0.0126731, Passed, Numeric, 39.3464, AND, LimitPair, N.A, volt, 38, 42, N.A, 
1974, Lid Left Sensor Test, 2022-04-13T21:53:09.168, 2022-04-13T21:53:09.179, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0112297, 0.0112297, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1975, Lid Right Sensor Test, 2022-04-13T21:53:09.183, 2022-04-13T21:53:09.200, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0168258, 0.0168258, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1976, HS Left Sensor Test, 2022-04-13T21:53:09.203, 2022-04-13T21:53:09.215, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.012059, 0.012059, Passed, Numeric, 53.1, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1977, HS Right Sensor Test, 2022-04-13T21:53:09.219, 2022-04-13T21:53:09.230, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0112455, 0.0112455, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1978, Get Amp2 Sensor Value, 2022-04-13T21:53:09.234, 2022-04-13T21:53:09.250, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.016071, 0.016071, Passed, Numeric, 21.5, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
1979, Get Amp Sensor Value, 2022-04-13T21:53:09.254, 2022-04-13T21:53:09.266, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0118845, 0.0118845, Passed, Numeric, 21.5, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
1980, Get Power Supply Sensor Value, 2022-04-13T21:53:09.269, 2022-04-13T21:53:09.281, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0114634, 0.0114634, Passed, Numeric, 25.3, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
1981, SRAM Page 0 Check, 2022-04-13T21:53:09.291, 2022-04-13T21:53:59.743, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 50.452, 50.452, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
