ID, administrator
name, administrator
ID, 623
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-07T05:36:53.604
endDateTime, 2022-04-07T05:40:50.852
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 237.249
ModuleTime, 237.249
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
624, Load Bio Rad DLL, 2022-04-07T05:36:53.636, 2022-04-07T05:36:53.637, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011198, 0.0011198, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
625, Put UUT, 2022-04-07T05:36:53.656, 2022-04-07T05:36:55.359, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.70252, 1.70252, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
626, DC Power On, 2022-04-07T05:36:55.366, 2022-04-07T05:36:55.687, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.32107, 0.32107, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
627, AC Power On, 2022-04-07T05:36:55.691, 2022-04-07T05:36:55.857, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.165935, 0.165935, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
628, Find Attached Devices, 2022-04-07T05:36:55.867, 2022-04-07T05:37:12.036, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.1684, 16.1684, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
629, 12.8V No Load Test, 2022-04-07T05:37:12.039, 2022-04-07T05:37:13.274, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.23535, 1.23535, Passed, Numeric, 12.8177622, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
630, 12.8V Load 30W, 2022-04-07T05:37:13.276, 2022-04-07T05:37:14.772, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.49684, 1.49684, Passed, Numeric, 12.4097552, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
631, 5V No Load Test, 2022-04-07T05:37:14.785, 2022-04-07T05:37:15.629, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.844305, 0.844305, Passed, Numeric, 5.07212215, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
632, 5V 600mA Load, 2022-04-07T05:37:15.634, 2022-04-07T05:37:16.773, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.13857, 1.13857, Passed, Numeric, 5.05732739, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
633, 3.3V Voltage Check, 2022-04-07T05:37:16.785, 2022-04-07T05:37:17.512, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.72695, 0.72695, Passed, Numeric, 3.32982865, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
634, Battery Voltage Check, 2022-04-07T05:37:17.523, 2022-04-07T05:37:18.260, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.736919, 0.736919, Passed, Numeric, 3.23014631, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
635, Wait 10, 2022-04-07T05:37:18.265, 2022-04-07T05:37:28.266, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
636, Remote Command Set, 2022-04-07T05:37:28.269, 2022-04-07T05:38:29.930, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 61.6605, 61.6605, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
637, Initialize SRAM and HC12, 2022-04-07T05:38:29.931, 2022-04-07T05:38:39.419, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48779, 9.48779, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
638, I2C Read Write Test, 2022-04-07T05:38:39.430, 2022-04-07T05:38:42.371, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.94078, 2.94078, Passed, Alpha VCC, 5.0738810915, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
