ID, administrator
name, administrator
ID, 563
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-07T05:31:44.101
endDateTime, 2022-04-07T05:35:27.770
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 223.67
ModuleTime, 223.67
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
564, Load Bio Rad DLL, 2022-04-07T05:31:44.134, 2022-04-07T05:31:44.136, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013312, 0.0013312, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
565, Put UUT, 2022-04-07T05:31:44.150, 2022-04-07T05:31:46.250, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.10021, 2.10021, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
566, DC Power On, 2022-04-07T05:31:46.254, 2022-04-07T05:31:46.592, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.337885, 0.337885, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
567, AC Power On, 2022-04-07T05:31:46.597, 2022-04-07T05:31:46.764, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.167094, 0.167094, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
568, Find Attached Devices, 2022-04-07T05:31:46.774, 2022-04-07T05:32:21.867, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0924, 35.0924, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
569, 12.8V No Load Test, 2022-04-07T05:32:21.879, 2022-04-07T05:32:23.158, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.27911, 1.27911, Passed, Numeric, 12.7837346, AND, LimitPair, N.A, volt, 12.16, 13.44, 
570, 12.8V Load 30W, 2022-04-07T05:32:23.160, 2022-04-07T05:32:24.308, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.14804, 1.14804, Passed, Numeric, 12.3979137, AND, LimitPair, N.A, volt, 12.16, 13.44, 
571, 5V No Load Test, 2022-04-07T05:32:24.320, 2022-04-07T05:32:25.043, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.722619, 0.722619, Passed, Numeric, 5.10124945, AND, LimitPair, N.A, volt, 4.75, 5.25, 
572, 5V 600mA Load, 2022-04-07T05:32:25.048, 2022-04-07T05:32:26.308, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26004, 1.26004, Passed, Numeric, 4.99457845, AND, LimitPair, N.A, volt, 4.75, 5.25, 
573, 3.3V Voltage Check, 2022-04-07T05:32:26.320, 2022-04-07T05:32:27.053, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.733284, 0.733284, Passed, Numeric, 3.28560742, AND, LimitPair, N.A, volt, 2.85, 3.45, 
574, Battery Voltage Check, 2022-04-07T05:32:27.062, 2022-04-07T05:32:27.814, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.751813, 0.751813, Passed, Numeric, 3.23106797, AND, LimitPair, N.A, volt, 2.85, 3.45, 
575, Wait 10, 2022-04-07T05:32:27.819, 2022-04-07T05:32:37.820, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
