ID, administrator
name, administrator
ID, 490
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-13T11:41:05.169
endDateTime, 2022-04-13T11:41:27.053
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 21.8841
ModuleTime, 21.8841
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
491, Load Bio Rad DLL, 2022-04-13T11:41:05.207, 2022-04-13T11:41:05.208, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011553, 0.0011553, Done, 
492, Put UUT, 2022-04-13T11:41:05.224, 2022-04-13T11:41:15.754, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 10.5299, Failed, 
493, Power Off, 2022-04-13T11:41:15.769, 2022-04-13T11:41:15.858, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.088615, 0.088615, Done, 
494, DC Power Off, 2022-04-13T11:41:15.868, 2022-04-13T11:41:16.223, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.354708, 0.354708, Done, 
495, Wait 10, 2022-04-13T11:41:16.236, 2022-04-13T11:41:27.037, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 10.8009, 10.8009, Aborted, 
