ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-18T16:20:14.960
endDateTime, 2021-03-18T16:21:15.105
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 60.1453
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-03-18T16:20:15.277, 2021-03-18T16:20:55.309, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 40.0315, 40.0315, Done, 
5, Put UUT, 2021-03-18T16:20:55.317, 2021-03-18T16:20:58.854, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 3.53668, Failed, 
6, Power Off, 2021-03-18T16:20:58.862, 2021-03-18T16:20:59.617, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.754637, 0.754637, Done, 
7, DC Power Off, 2021-03-18T16:20:59.629, 2021-03-18T16:21:00.022, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.393304, 0.393304, Done, 
8, Wait 10, 2021-03-18T16:21:00.034, 2021-03-18T16:21:15.093, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0585, 15.0585, Done, 
