ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-12T10:00:16.969
endDateTime, 2021-03-12T10:00:47.370
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 30.4011
ModuleTime, 30.4011
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-03-12T10:00:17.100, 2021-03-12T10:00:36.105, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 19.0051, 19.0051, Done, 
5, Put UUT, 2021-03-12T10:00:36.113, 2021-03-12T10:00:42.580, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 6.46739, Failed, 
6, Power Off, 2021-03-12T10:00:42.594, 2021-03-12T10:00:43.887, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.29259, 1.29259, Done, 
7, DC Power Off, 2021-03-12T10:00:43.900, 2021-03-12T10:00:44.348, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.448216, 0.448216, Done, 
8, Wait 10, 2021-03-12T10:00:44.360, 2021-03-12T10:00:47.363, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 3.00235, 3.00235, Aborted, 
