ID, administrator
name, administrator
ID, 266
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-24T15:51:53.698
endDateTime, 2021-03-24T16:00:13.351
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 499.653
ModuleTime, 499.653
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
267, Load Bio Rad DLL, 2021-03-24T15:51:53.733, 2021-03-24T15:51:53.734, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013124, 0.0013124, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
268, Put UUT, 2021-03-24T15:51:53.750, 2021-03-24T15:51:55.059, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.30854, 1.30854, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
269, DC Power On, 2021-03-24T15:51:55.063, 2021-03-24T15:51:55.381, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.3175, 0.3175, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
270, AC Power On, 2021-03-24T15:51:55.385, 2021-03-24T15:51:55.552, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.166275, 0.166275, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
271, Find Attached Devices, 2021-03-24T15:51:55.562, 2021-03-24T15:52:10.603, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0408, 15.0408, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
272, 12.8V No Load Test, 2021-03-24T15:52:10.607, 2021-03-24T15:52:11.867, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.25975, 1.25975, Passed, Numeric, 12.8793826, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
273, 12.8V Load 30W, 2021-03-24T15:52:11.873, 2021-03-24T15:52:13.284, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.4114, 1.4114, Passed, Numeric, 12.7375426, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
274, 5V No Load Test, 2021-03-24T15:52:13.297, 2021-03-24T15:52:14.039, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.741995, 0.741995, Passed, Numeric, 5.07448186, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
275, 5V 600mA Load, 2021-03-24T15:52:14.044, 2021-03-24T15:52:15.283, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23935, 1.23935, Passed, Numeric, 5.06705235, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
276, 3.3V Voltage Check, 2021-03-24T15:52:15.296, 2021-03-24T15:52:16.055, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.759201, 0.759201, Passed, Numeric, 3.32653794, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
277, Battery Voltage Check, 2021-03-24T15:52:16.066, 2021-03-24T15:52:16.854, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.788345, 0.788345, Passed, Numeric, 3.01199933, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
278, Wait 10, 2021-03-24T15:52:16.859, 2021-03-24T15:52:26.860, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
279, Remote Command Set, 2021-03-24T15:52:26.864, 2021-03-24T15:53:27.785, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 60.9216, 60.9216, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
280, Initialize SRAM and HC12, 2021-03-24T15:53:27.792, 2021-03-24T15:53:37.288, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49622, 9.49622, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
281, I2C Read Write Test, 2021-03-24T15:53:37.299, 2021-03-24T15:53:40.363, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 3.06372, 3.06372, Passed, Alpha VCC, 5.0749781065, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
282, Get VCC Sensor Value, 2021-03-24T15:53:40.368, 2021-03-24T15:53:40.380, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0121972, 0.0121972, Passed, Numeric, 5.002, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
283, Get 15V Sensor Value, 2021-03-24T15:53:40.386, 2021-03-24T15:53:40.398, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0122971, 0.0122971, Passed, Numeric, 12.62736, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
284, Get Power Sensor Value, 2021-03-24T15:53:40.403, 2021-03-24T15:53:40.416, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0135794, 0.0135794, Passed, Numeric, 39.5108, AND, LimitPair, N.A, volt, 38, 42, N.A, 
285, Lid Left Sensor Test, 2021-03-24T15:53:40.420, 2021-03-24T15:53:40.431, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0108329, 0.0108329, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
286, Lid Right Sensor Test, 2021-03-24T15:53:40.434, 2021-03-24T15:53:40.445, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0109601, 0.0109601, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
287, HS Left Sensor Test, 2021-03-24T15:53:40.448, 2021-03-24T15:53:40.461, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0129044, 0.0129044, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
288, HS Right Sensor Test, 2021-03-24T15:53:40.465, 2021-03-24T15:53:40.477, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0122202, 0.0122202, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
289, Get Amp2 Sensor Value, 2021-03-24T15:53:40.480, 2021-03-24T15:53:40.491, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0110641, 0.0110641, Passed, Numeric, 28.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
290, Get Amp Sensor Value, 2021-03-24T15:53:40.495, 2021-03-24T15:53:40.511, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0164299, 0.0164299, Passed, Numeric, 24.9, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
291, Get Power Supply Sensor Value, 2021-03-24T15:53:40.515, 2021-03-24T15:53:40.527, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0125185, 0.0125185, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
292, SRAM Page 0 Check, 2021-03-24T15:53:40.535, 2021-03-24T15:54:28.805, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 48.2698, 48.2698, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
293, SRAM Page 1 Check, 2021-03-24T15:54:28.814, 2021-03-24T15:54:29.324, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.510174, 0.510174, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
294, SRAM Page 2 Check, 2021-03-24T15:54:29.329, 2021-03-24T15:54:29.745, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.416181, 0.416181, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
295, SRAM Page 3 Check, 2021-03-24T15:54:29.750, 2021-03-24T15:54:30.226, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.476156, 0.476156, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
