ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-05-26T08:35:51.293
endDateTime, 2021-05-26T08:36:56.416
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 65.1239
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-05-26T08:35:51.428, 2021-05-26T08:36:26.126, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 34.6979, 34.6979, Done, 
5, Put UUT, 2021-05-26T08:36:26.133, 2021-05-26T08:36:40.695, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 14.5617, Failed, 
6, Power Off, 2021-05-26T08:36:40.708, 2021-05-26T08:36:41.064, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.355916, 0.355916, Done, 
7, DC Power Off, 2021-05-26T08:36:41.068, 2021-05-26T08:36:41.396, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.328332, 0.328332, Done, 
8, Wait 10, 2021-05-26T08:36:41.403, 2021-05-26T08:36:56.404, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0008, 15.0008, Done, 
