ID, administrator
name, administrator
ID, 79
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-12-10T21:02:14.092
endDateTime, 2021-12-10T21:06:45.437
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 271.345
ModuleTime, 271.345
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
80, Load Bio Rad DLL, 2021-12-10T21:02:14.125, 2021-12-10T21:02:14.127, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0016004, 0.0016004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
81, Put UUT, 2021-12-10T21:02:14.145, 2021-12-10T21:02:15.129, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 0.984052, 0.984052, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
82, DC Power On, 2021-12-10T21:02:15.136, 2021-12-10T21:02:15.451, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.31529, 0.31529, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
83, AC Power On, 2021-12-10T21:02:15.456, 2021-12-10T21:02:15.627, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 0.170905, 0.170905, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
84, Find Attached Devices, 2021-12-10T21:02:15.639, 2021-12-10T21:02:31.773, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.1339, 16.1339, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
85, 12.8V No Load Test, 2021-12-10T21:02:31.776, 2021-12-10T21:02:32.980, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.20372, 1.20372, Passed, Numeric, 12.8316425, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
86, 12.8V Load 30W, 2021-12-10T21:02:32.981, 2021-12-10T21:02:34.438, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.45684, 1.45684, Passed, Numeric, 12.6943697, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
87, 5V No Load Test, 2021-12-10T21:02:34.450, 2021-12-10T21:02:35.179, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.729132, 0.729132, Passed, Numeric, 5.08959458, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
88, 5V 600mA Load, 2021-12-10T21:02:35.184, 2021-12-10T21:02:36.438, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25403, 1.25403, Passed, Numeric, 5.01120961, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
89, 3.3V Voltage Check, 2021-12-10T21:02:36.450, 2021-12-10T21:02:37.191, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.740894, 0.740894, Passed, Numeric, 3.30654851, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
90, Battery Voltage Check, 2021-12-10T21:02:37.202, 2021-12-10T21:02:37.948, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.746431, 0.746431, Passed, Numeric, 3.21819563, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
