ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-12T11:04:36.988
endDateTime, 2021-03-12T11:05:15.211
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 38.2232
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-03-12T11:04:37.119, 2021-03-12T11:04:56.031, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 18.9114, 18.9114, Done, 
5, Put UUT, 2021-03-12T11:04:56.039, 2021-03-12T11:04:59.632, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 3.59298, Failed, 
6, Power Off, 2021-03-12T11:04:59.645, 2021-03-12T11:04:59.818, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 0.172285, 0.172285, Done, 
7, DC Power Off, 2021-03-12T11:04:59.828, 2021-03-12T11:05:00.184, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.355974, 0.355974, Done, 
8, Wait 10, 2021-03-12T11:05:00.197, 2021-03-12T11:05:15.198, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0016, 15.0016, Done, 
