ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-21T17:30:52.740
endDateTime, 2021-03-21T17:31:52.826
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 60.0866
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-03-21T17:30:52.935, 2021-03-21T17:31:28.359, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 35.4236, 35.4236, Done, 
5, Put UUT, 2021-03-21T17:31:28.384, 2021-03-21T17:31:36.004, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 7.61975, Failed, 
6, Power Off, 2021-03-21T17:31:36.017, 2021-03-21T17:31:37.394, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.37679, 1.37679, Done, 
7, DC Power Off, 2021-03-21T17:31:37.399, 2021-03-21T17:31:37.805, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.406004, 0.406004, Done, 
8, Wait 10, 2021-03-21T17:31:37.813, 2021-03-21T17:31:52.814, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0012, 15.0012, Done, 
