ID, administrator
name, administrator
ID, 2866
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-01T20:40:15.707
endDateTime, 2022-04-01T20:48:42.499
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 506.792
ModuleTime, 506.792
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2867, Load Bio Rad DLL, 2022-04-01T20:40:15.765, 2022-04-01T20:40:15.767, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013268, 0.0013268, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2868, Put UUT, 2022-04-01T20:40:15.788, 2022-04-01T20:40:19.409, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 3.62062, 3.62062, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2869, DC Power On, 2022-04-01T20:40:19.425, 2022-04-01T20:40:19.781, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.356315, 0.356315, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2870, AC Power On, 2022-04-01T20:40:19.782, 2022-04-01T20:40:21.688, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.90618, 1.90618, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2871, Find Attached Devices, 2022-04-01T20:40:21.692, 2022-04-01T20:40:56.780, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0872, 35.0872, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2872, 12.8V No Load Test, 2022-04-01T20:40:56.784, 2022-04-01T20:40:58.457, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.67266, 1.67266, Passed, Numeric, 12.8963529, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2873, 12.8V Load 30W, 2022-04-01T20:40:58.457, 2022-04-01T20:40:59.703, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.24584, 1.24584, Passed, Numeric, 12.7535581, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2874, 5V No Load Test, 2022-04-01T20:40:59.710, 2022-04-01T20:41:00.446, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.735473, 0.735473, Passed, Numeric, 5.08334553, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2875, 5V 600mA Load, 2022-04-01T20:41:00.448, 2022-04-01T20:41:01.703, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25505, 1.25505, Passed, Numeric, 5.09860415, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2876, 3.3V Voltage Check, 2022-04-01T20:41:01.709, 2022-04-01T20:41:02.445, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.735346, 0.735346, Passed, Numeric, 3.29876602, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2877, Battery Voltage Check, 2022-04-01T20:41:02.451, 2022-04-01T20:41:03.197, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.745795, 0.745795, Passed, Numeric, 3.22906208, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2878, Wait 10, 2022-04-01T20:41:03.198, 2022-04-01T20:41:13.199, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0004, 10.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2879, Remote Command Set, 2022-04-01T20:41:13.200, 2022-04-01T20:42:21.225, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 68.0249, 68.0249, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2880, Initialize SRAM and HC12, 2022-04-01T20:42:21.226, 2022-04-01T20:42:30.715, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48867, 9.48867, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2881, I2C Read Write Test, 2022-04-01T20:42:30.721, 2022-04-01T20:42:33.625, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.90479, 2.90479, Passed, Alpha VCC, 5.084761064, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2882, Get VCC Sensor Value, 2022-04-01T20:42:33.627, 2022-04-01T20:42:33.640, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0125693, 0.0125693, Passed, Numeric, 5.01176, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2883, Get 15V Sensor Value, 2022-04-01T20:42:33.641, 2022-04-01T20:42:33.653, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0111039, 0.0111039, Passed, Numeric, 13.21512, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2884, Get Power Sensor Value, 2022-04-01T20:42:33.654, 2022-04-01T20:42:33.665, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0111024, 0.0111024, Passed, Numeric, 39.456, AND, LimitPair, N.A, volt, 38, 42, N.A, 
2885, Lid Left Sensor Test, 2022-04-01T20:42:33.667, 2022-04-01T20:42:33.679, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0122387, 0.0122387, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2886, Lid Right Sensor Test, 2022-04-01T20:42:33.681, 2022-04-01T20:42:33.692, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0109617, 0.0109617, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2887, HS Left Sensor Test, 2022-04-01T20:42:33.694, 2022-04-01T20:42:33.705, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0109245, 0.0109245, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2888, HS Right Sensor Test, 2022-04-01T20:42:33.706, 2022-04-01T20:42:33.723, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.01662, 0.01662, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2889, Get Amp2 Sensor Value, 2022-04-01T20:42:33.725, 2022-04-01T20:42:33.736, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0110431, 0.0110431, Passed, Numeric, 21.4, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
2890, Get Amp Sensor Value, 2022-04-01T20:42:33.738, 2022-04-01T20:42:33.749, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0113279, 0.0113279, Passed, Numeric, 21.4, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
2891, Get Power Supply Sensor Value, 2022-04-01T20:42:33.751, 2022-04-01T20:42:33.762, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0110308, 0.0110308, Passed, Numeric, 25.3, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
2892, SRAM Page 0 Check, 2022-04-01T20:42:33.768, 2022-04-01T20:43:20.231, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 46.4623, 46.4623, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2893, SRAM Page 1 Check, 2022-04-01T20:43:20.256, 2022-04-01T20:43:20.759, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.503053, 0.503053, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2894, SRAM Page 2 Check, 2022-04-01T20:43:20.766, 2022-04-01T20:43:21.174, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.408023, 0.408023, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2895, SRAM Page 3 Check, 2022-04-01T20:43:21.182, 2022-04-01T20:43:21.646, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.464499, 0.464499, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2896, Power Cycle Unit, 2022-04-01T20:43:21.654, 2022-04-01T20:43:50.276, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.6221, 28.6221, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2897, Battery Backup Test, 2022-04-01T20:43:50.280, 2022-04-01T20:43:51.322, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.04179, 1.04179, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2898, Block Sensor 0 Check, 2022-04-01T20:43:51.331, 2022-04-01T20:43:51.341, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0107918, 0.0107918, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2899, Block Sensor 1 Check, 2022-04-01T20:43:51.345, 2022-04-01T20:43:51.362, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0165773, 0.0165773, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2900, Block Sensor 2 Check, 2022-04-01T20:43:51.366, 2022-04-01T20:43:51.378, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0120111, 0.0120111, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2901, Block Sensor 3 Check, 2022-04-01T20:43:51.382, 2022-04-01T20:43:51.392, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0106874, 0.0106874, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2902, Block Sensor 4 Check, 2022-04-01T20:43:51.396, 2022-04-01T20:43:51.413, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0165748, 0.0165748, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2903, Block Sensor 5 Check, 2022-04-01T20:43:51.416, 2022-04-01T20:43:51.428, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0117232, 0.0117232, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2904, TE CH0 Posistive Direction Check, 2022-04-01T20:43:51.437, 2022-04-01T20:43:52.211, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.77397, 0.77397, Passed, Numeric, 10.74777753333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
2905, TE CH0 Negative Direction Check, 2022-04-01T20:43:52.215, 2022-04-01T20:43:53.001, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.785851, 0.785851, Passed, Numeric, -10.74414401667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
2906, TE CH1 Posistive Direction Check, 2022-04-01T20:43:53.007, 2022-04-01T20:43:53.775, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.768968, 0.768968, Passed, Numeric, 10.69776365, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
2907, TE CH1 Negative Direction Check, 2022-04-01T20:43:53.779, 2022-04-01T20:43:54.551, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.771159, 0.771159, Passed, Numeric, -10.69035298333, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
2908, TE CH2 Posistive Direction Check, 2022-04-01T20:43:54.559, 2022-04-01T20:43:55.343, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.784034, 0.784034, Passed, Numeric, 10.78300838333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
2909, TE CH2 Negative Direction Check, 2022-04-01T20:43:55.352, 2022-04-01T20:43:56.150, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.797977, 0.797977, Passed, Numeric, -10.78228271667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
