ID, administrator
name, administrator
ID, 5487
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-07T16:25:20.722
endDateTime, 2020-09-07T16:33:17.985
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 477.264
ModuleTime, 477.264
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
5488, Load Bio Rad DLL, 2020-09-07T16:25:20.779, 2020-09-07T16:25:20.780, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0010174, 0.0010174, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5489, Put UUT, 2020-09-07T16:25:20.806, 2020-09-07T16:25:27.255, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 6.4493, 6.4493, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5490, DC Power On, 2020-09-07T16:25:27.271, 2020-09-07T16:25:27.576, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.305009, 0.305009, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5491, AC Power On, 2020-09-07T16:25:27.603, 2020-09-07T16:25:29.108, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.50455, 1.50455, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5492, Find Attached Devices, 2020-09-07T16:25:29.111, 2020-09-07T16:25:57.077, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 27.9658, 27.9658, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
5493, 12.8V No Load Test, 2020-09-07T16:25:57.081, 2020-09-07T16:25:58.308, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22724, 1.22724, Passed, Numeric, 12.7892326, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
5494, 12.8V Load 30W, 2020-09-07T16:25:58.309, 2020-09-07T16:25:59.781, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.47163, 1.47163, Passed, Numeric, 12.5390745, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
5495, 5V No Load Test, 2020-09-07T16:25:59.785, 2020-09-07T16:26:00.505, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.720384, 0.720384, Passed, Numeric, 5.08691182, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
5496, 5V 600mA Load, 2020-09-07T16:26:00.507, 2020-09-07T16:26:01.782, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27542, 1.27542, Passed, Numeric, 5.02174594, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
5497, 3.3V Voltage Check, 2020-09-07T16:26:01.786, 2020-09-07T16:26:02.506, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.720691, 0.720691, Passed, Numeric, 3.31941868, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
5498, Battery Voltage Check, 2020-09-07T16:26:02.510, 2020-09-07T16:26:03.231, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.721105, 0.721105, Passed, Numeric, 3.22234616, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
5499, Wait 10, 2020-09-07T16:26:03.232, 2020-09-07T16:26:13.233, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0006, 10.0006, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5500, Remote Command Set, 2020-09-07T16:26:13.234, 2020-09-07T16:27:20.221, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 66.9873, 66.9873, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
