ID, administrator
name, administrator
ID, 6504
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-05-15T06:25:21.485
endDateTime, 2021-05-15T06:29:43.702
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 262.218
ModuleTime, 262.218
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
6505, Load Bio Rad DLL, 2021-05-15T06:25:21.534, 2021-05-15T06:25:21.535, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011025, 0.0011025, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6506, Put UUT, 2021-05-15T06:25:21.561, 2021-05-15T06:25:23.278, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.71777, 1.71777, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6507, DC Power On, 2021-05-15T06:25:23.285, 2021-05-15T06:25:23.565, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.279317, 0.279317, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6508, AC Power On, 2021-05-15T06:25:23.643, 2021-05-15T06:25:25.207, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.56371, 1.56371, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6509, Find Attached Devices, 2021-05-15T06:25:25.215, 2021-05-15T06:26:00.303, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0886, 35.0886, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
6510, 12.8V No Load Test, 2021-05-15T06:26:00.312, 2021-05-15T06:26:02.010, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.69853, 1.69853, Passed, Numeric, 12.7600863, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
6511, 12.8V Load 30W, 2021-05-15T06:26:02.014, 2021-05-15T06:26:03.613, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.59941, 1.59941, Passed, Numeric, 12.4077126, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
6512, 5V No Load Test, 2021-05-15T06:26:03.622, 2021-05-15T06:26:04.344, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.722896, 0.722896, Passed, Numeric, 5.08227595, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
6513, 5V 600mA Load, 2021-05-15T06:26:04.348, 2021-05-15T06:26:05.612, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26443, 1.26443, Passed, Numeric, 5.09286848, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
6514, 3.3V Voltage Check, 2021-05-15T06:26:05.621, 2021-05-15T06:26:06.347, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.726289, 0.726289, Passed, Numeric, 3.3255141, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
