ID, administrator
name, administrator
ID, 2785
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-06-21T08:17:43.376
endDateTime, 2021-06-21T08:21:37.139
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 233.763
ModuleTime, 233.763
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
2786, Load Bio Rad DLL, 2021-06-21T08:17:43.417, 2021-06-21T08:17:43.419, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012607, 0.0012607, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2787, Put UUT, 2021-06-21T08:17:43.443, 2021-06-21T08:17:55.515, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 12.0726, 12.0726, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2788, DC Power On, 2021-06-21T08:17:55.527, 2021-06-21T08:17:55.850, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.323178, 0.323178, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2789, AC Power On, 2021-06-21T08:17:55.852, 2021-06-21T08:17:57.786, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.93451, 1.93451, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2790, Find Attached Devices, 2021-06-21T08:17:57.792, 2021-06-21T08:18:12.827, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.035, 15.035, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
2791, 12.8V No Load Test, 2021-06-21T08:18:12.830, 2021-06-21T08:18:14.496, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.66572, 1.66572, Passed, Numeric, 12.8559479, AND, LimitPair, N.A, volt, 12.16, 13.44, 
2792, 12.8V Load 30W, 2021-06-21T08:18:14.497, 2021-06-21T08:18:15.906, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.40934, 1.40934, Passed, Numeric, 12.5921179, AND, LimitPair, N.A, volt, 12.16, 13.44, 
2793, 5V No Load Test, 2021-06-21T08:18:15.914, 2021-06-21T08:18:16.669, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.755309, 0.755309, Passed, Numeric, 5.04283927, AND, LimitPair, N.A, volt, 4.75, 5.25, 
2794, 5V 600mA Load, 2021-06-21T08:18:16.671, 2021-06-21T08:18:17.905, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23426, 1.23426, Passed, Numeric, 5.07202083, AND, LimitPair, N.A, volt, 4.75, 5.25, 
2795, 3.3V Voltage Check, 2021-06-21T08:18:17.911, 2021-06-21T08:18:18.658, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.747142, 0.747142, Passed, Numeric, 3.3483545, AND, LimitPair, N.A, volt, 2.85, 3.45, 
2796, Battery Voltage Check, 2021-06-21T08:18:18.662, 2021-06-21T08:18:19.402, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.740082, 0.740082, Passed, Numeric, 3.22085526, AND, LimitPair, N.A, volt, 2.85, 3.45, 
2797, Wait 10, 2021-06-21T08:18:19.404, 2021-06-21T08:18:29.405, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0004, 10.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2798, Remote Command Set, 2021-06-21T08:18:29.406, 2021-06-21T08:19:37.194, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.7876, 67.7876, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2799, Initialize SRAM and HC12, 2021-06-21T08:19:37.196, 2021-06-21T08:19:46.683, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48647, 9.48647, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2800, I2C Read Write Test, 2021-06-21T08:19:46.689, 2021-06-21T08:19:49.599, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.91016, 2.91016, Passed, Alpha VCC, 5.0436837865, N.A, N.A, N.A, N.A, N.A, N.A, 
2801, Get VCC Sensor Value, 2021-06-21T08:19:49.601, 2021-06-21T08:19:49.612, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0113395, 0.0113395, Passed, Numeric, 4.98736, AND, LimitPair, N.A, volt, 4.75, 5.25, 
2802, Get 15V Sensor Value, 2021-06-21T08:19:49.614, 2021-06-21T08:19:49.626, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0122777, 0.0122777, Passed, Numeric, 12.72216, AND, LimitPair, N.A, volt, 12.16, 13.44, 
2803, Get Power Sensor Value, 2021-06-21T08:19:49.628, 2021-06-21T08:19:49.639, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0110774, 0.0110774, Passed, Numeric, 39.6752, AND, LimitPair, N.A, volt, 38, 42, 
2804, Lid Left Sensor Test, 2021-06-21T08:19:49.641, 2021-06-21T08:19:49.652, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0108996, 0.0108996, Passed, Numeric, 53.1, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
