ID, administrator
name, administrator
ID, 2748
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-09T22:32:26.520
endDateTime, 2020-09-09T22:41:24.288
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 537.769
ModuleTime, 537.769
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2749, Load Bio Rad DLL, 2020-09-09T22:32:26.595, 2020-09-09T22:32:26.892, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.297912, 0.297912, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2750, Put UUT, 2020-09-09T22:32:26.905, 2020-09-09T22:32:28.891, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.98602, 1.98602, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2751, DC Power On, 2020-09-09T22:32:28.893, 2020-09-09T22:32:29.267, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.373744, 0.373744, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2752, AC Power On, 2020-09-09T22:32:29.269, 2020-09-09T22:32:31.017, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.74811, 1.74811, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2753, Find Attached Devices, 2020-09-09T22:32:31.020, 2020-09-09T22:32:46.055, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0352, 15.0352, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2754, 12.8V No Load Test, 2020-09-09T22:32:46.059, 2020-09-09T22:32:47.290, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.23044, 1.23044, Passed, Numeric, 12.7820784, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2755, 12.8V Load 30W, 2020-09-09T22:32:47.291, 2020-09-09T22:32:48.775, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.48355, 1.48355, Passed, Numeric, 12.5206932, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2756, 5V No Load Test, 2020-09-09T22:32:48.778, 2020-09-09T22:32:49.497, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.718264, 0.718264, Passed, Numeric, 5.08147445, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2757, 5V 600mA Load, 2020-09-09T22:32:49.498, 2020-09-09T22:32:50.776, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27758, 1.27758, Passed, Numeric, 5.00473526, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2758, 3.3V Voltage Check, 2020-09-09T22:32:50.779, 2020-09-09T22:32:51.500, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.720486, 0.720486, Passed, Numeric, 3.30349257, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2759, Battery Voltage Check, 2020-09-09T22:32:51.503, 2020-09-09T22:32:52.226, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.7225, 0.7225, Passed, Numeric, 3.21843274, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2760, Wait 10, 2020-09-09T22:32:52.227, 2020-09-09T22:33:02.227, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0003, 10.0003, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2761, Remote Command Set, 2020-09-09T22:33:02.229, 2020-09-09T22:34:09.463, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.2348, 67.2348, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2762, Initialize SRAM and HC12, 2020-09-09T22:34:09.465, 2020-09-09T22:34:18.952, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48721, 9.48721, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2763, I2C Read Write Test, 2020-09-09T22:34:18.956, 2020-09-09T22:34:21.857, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.90119, 2.90119, Passed, Alpha VCC, 5.0824634, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2764, Get VCC Sensor Value, 2020-09-09T22:34:21.858, 2020-09-09T22:34:21.869, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.010822, 0.010822, Passed, Numeric, 5.002, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2765, Get 15V Sensor Value, 2020-09-09T22:34:21.870, 2020-09-09T22:34:21.880, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0099722, 0.0099722, Passed, Numeric, 12.99708, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2766, Get Power Sensor Value, 2020-09-09T22:34:21.882, 2020-09-09T22:34:21.892, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0100506, 0.0100506, Passed, Numeric, 39.3464, AND, LimitPair, N.A, volt, 38, 42, N.A, 
2767, Lid Left Sensor Test, 2020-09-09T22:34:21.893, 2020-09-09T22:34:21.903, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0098644, 0.0098644, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2768, Lid Right Sensor Test, 2020-09-09T22:34:21.904, 2020-09-09T22:34:21.914, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0096601, 0.0096601, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2769, HS Left Sensor Test, 2020-09-09T22:34:21.915, 2020-09-09T22:34:21.925, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0097799, 0.0097799, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2770, HS Right Sensor Test, 2020-09-09T22:34:21.926, 2020-09-09T22:34:21.936, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0097726, 0.0097726, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
2771, Get Amp2 Sensor Value, 2020-09-09T22:34:21.937, 2020-09-09T22:34:21.948, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0101599, 0.0101599, Passed, Numeric, 23.3, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
2772, Get Amp Sensor Value, 2020-09-09T22:34:21.949, 2020-09-09T22:34:21.964, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.014618, 0.014618, Passed, Numeric, 23.1, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
2773, Get Power Supply Sensor Value, 2020-09-09T22:34:21.965, 2020-09-09T22:34:21.975, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0101541, 0.0101541, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
2774, SRAM Page 0 Check, 2020-09-09T22:34:21.978, 2020-09-09T22:35:02.395, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 40.4162, 40.4162, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2775, SRAM Page 1 Check, 2020-09-09T22:35:02.396, 2020-09-09T22:35:02.863, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.466825, 0.466825, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2776, SRAM Page 2 Check, 2020-09-09T22:35:02.864, 2020-09-09T22:35:03.263, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.398657, 0.398657, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2777, SRAM Page 3 Check, 2020-09-09T22:35:03.264, 2020-09-09T22:35:03.673, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.408366, 0.408366, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2778, Power Cycle Unit, 2020-09-09T22:35:03.674, 2020-09-09T22:35:32.413, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.7389, 28.7389, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2779, Battery Backup Test, 2020-09-09T22:35:32.415, 2020-09-09T22:35:33.459, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.0446, 1.0446, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2780, Block Sensor 0 Check, 2020-09-09T22:35:33.463, 2020-09-09T22:35:33.473, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0103099, 0.0103099, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2781, Block Sensor 1 Check, 2020-09-09T22:35:33.474, 2020-09-09T22:35:33.490, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0157743, 0.0157743, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2782, Block Sensor 2 Check, 2020-09-09T22:35:33.491, 2020-09-09T22:35:33.501, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0100807, 0.0100807, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2783, Block Sensor 3 Check, 2020-09-09T22:35:33.503, 2020-09-09T22:35:33.513, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0102429, 0.0102429, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2784, Block Sensor 4 Check, 2020-09-09T22:35:33.514, 2020-09-09T22:35:33.524, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0101222, 0.0101222, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2785, Block Sensor 5 Check, 2020-09-09T22:35:33.528, 2020-09-09T22:35:33.541, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0128209, 0.0128209, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
2786, TE CH0 Posistive Direction Check, 2020-09-09T22:35:33.557, 2020-09-09T22:35:34.330, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.77235, 0.77235, Passed, Numeric, 10.66456013333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
2787, TE CH0 Negative Direction Check, 2020-09-09T22:35:34.334, 2020-09-09T22:35:35.101, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.767427, 0.767427, Passed, Numeric, -10.65184601667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
2788, TE CH1 Posistive Direction Check, 2020-09-09T22:35:35.105, 2020-09-09T22:35:35.871, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.766682, 0.766682, Passed, Numeric, 10.74419766667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
2789, TE CH1 Negative Direction Check, 2020-09-09T22:35:35.875, 2020-09-09T22:35:36.649, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.773824, 0.773824, Passed, Numeric, -10.7385173, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
2790, TE CH2 Posistive Direction Check, 2020-09-09T22:35:36.653, 2020-09-09T22:35:37.421, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.768021, 0.768021, Passed, Numeric, 10.74607451667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
2791, TE CH2 Negative Direction Check, 2020-09-09T22:35:37.425, 2020-09-09T22:35:38.200, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.775247, 0.775247, Passed, Numeric, -10.73653621667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
2792, TE CH3 Posistive Direction Check, 2020-09-09T22:35:38.204, 2020-09-09T22:35:38.967, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.763011, 0.763011, Passed, Numeric, 10.70934641667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
