ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-11-04T13:52:42.274
endDateTime, 2020-11-04T13:54:19.993
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 97.7199
ModuleTime, 97.7199
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, Event ID, Severity, Error source, ResultDataType, 
4, Load Bio Rad DLL, 2020-11-04T13:52:42.515, 2020-11-04T13:53:35.532, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 53.0164, 53.0164, Done, N.A, N.A, N.A, N.A, 
5, Put UUT, 2020-11-04T13:53:35.543, 2020-11-04T13:53:45.120, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 9.57652, 9.57652, Passed, N.A, N.A, N.A, N.A, 
6, DC Power On, 2020-11-04T13:53:45.143, 2020-11-04T13:53:45.275, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.131957, 0.131957, Done, N.A, N.A, N.A, N.A, 
7, AC Power On, 2020-11-04T13:53:45.276, 2020-11-04T13:53:54.524, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 9.2475, 9.2475, Aborted, Error Message, 4, Error.Msg, Error, 
8, Power Off, 2020-11-04T13:53:54.584, 2020-11-04T13:54:04.935, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 10.3503, 10.3503, Aborted, Error Message, 4, Error.Msg, Error, 
9, DC Power Off, 2020-11-04T13:54:04.962, 2020-11-04T13:54:04.975, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.0133593, 0.0133593, Done, N.A, N.A, N.A, N.A, 
10, Wait 10, 2020-11-04T13:54:04.980, 2020-11-04T13:54:19.984, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0034, 15.0034, Done, N.A, N.A, N.A, N.A, 
