ID, administrator
name, administrator
ID, 479
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-03-02T01:35:02.217
endDateTime, 2021-03-02T01:37:22.275
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 140.058
ModuleTime, 140.058
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
480, Load Bio Rad DLL, 2021-03-02T01:35:02.265, 2021-03-02T01:35:02.266, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.001015, 0.001015, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
481, Put UUT, 2021-03-02T01:35:02.291, 2021-03-02T01:35:03.723, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.43168, 1.43168, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
482, DC Power On, 2021-03-02T01:35:03.730, 2021-03-02T01:35:04.037, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.307554, 0.307554, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
483, AC Power On, 2021-03-02T01:35:04.040, 2021-03-02T01:35:05.786, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.74532, 1.74532, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
484, Find Attached Devices, 2021-03-02T01:35:05.793, 2021-03-02T01:35:40.882, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0885, 35.0885, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
485, 12.8V No Load Test, 2021-03-02T01:35:40.890, 2021-03-02T01:35:42.189, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, true, 6, 1.2991, Failed, Numeric, 10.5167354, AND, LimitPair, N.A, volt, 12.16, 13.44, 
486, 12.8V Load 30W, 2021-03-02T01:35:42.193, 2021-03-02T01:35:43.781, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.58853, 1.58853, Failed, Numeric, 10.7760028, AND, LimitPair, N.A, volt, 12.16, 13.44, 
487, 5V No Load Test, 2021-03-02T01:35:43.789, 2021-03-02T01:35:44.500, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.711014, 0.711014, Passed, Numeric, 5.07913684, AND, LimitPair, N.A, volt, 4.75, 5.25, 
488, 5V 600mA Load, 2021-03-02T01:35:44.504, 2021-03-02T01:35:45.781, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27738, 1.27738, Passed, Numeric, 5.02104788, AND, LimitPair, N.A, volt, 4.75, 5.25, 
489, 3.3V Voltage Check, 2021-03-02T01:35:45.789, 2021-03-02T01:35:46.499, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.709637, 0.709637, Passed, Numeric, 3.28608328, AND, LimitPair, N.A, volt, 2.85, 3.45, 
490, Battery Voltage Check, 2021-03-02T01:35:46.507, 2021-03-02T01:35:47.233, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.726495, 0.726495, Passed, Numeric, 3.20378393, AND, LimitPair, N.A, volt, 2.85, 3.45, 
491, Wait 10, 2021-03-02T01:35:47.237, 2021-03-02T01:35:57.238, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0009, 10.0009, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
492, Remote Command Set, 2021-03-02T01:35:57.240, 2021-03-02T01:37:05.006, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.7661, 67.7661, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
493, Power Off, 2021-03-02T01:37:05.006, 2021-03-02T01:37:06.957, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.9512, 1.9512, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
494, DC Power Off, 2021-03-02T01:37:06.958, 2021-03-02T01:37:07.259, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.301135, 0.301135, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
495, Wait 10, 2021-03-02T01:37:07.259, 2021-03-02T01:37:22.259, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0006, 15.0006, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
