ID, administrator
name, administrator
ID, 11
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-05-26T05:37:32.482
endDateTime, 2021-05-26T05:38:13.801
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 41.3198
ModuleTime, 41.3198
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, Event ID, Severity, Error source, ResultDataType, 
12, Load Bio Rad DLL, 2021-05-26T05:37:32.530, 2021-05-26T05:37:32.532, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011188, 0.0011188, Done, N.A, N.A, N.A, N.A, 
13, Put UUT, 2021-05-26T05:37:32.565, 2021-05-26T05:37:35.770, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 3.20528, 3.20528, Passed, N.A, N.A, N.A, N.A, 
14, DC Power On, 2021-05-26T05:37:35.784, 2021-05-26T05:37:35.794, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.0102714, 0.0102714, Done, N.A, N.A, N.A, N.A, 
15, AC Power On, 2021-05-26T05:37:35.798, 2021-05-26T05:37:42.032, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 6.23383, 6.23383, Aborted, Error Message, 4, Error.Msg, Error, 
16, AC Power On, 2021-05-26T05:37:42.057, 2021-05-26T05:37:45.100, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 3.04258, 3.04258, Aborted, Error Message, 4, Error.Msg, Error, 
17, AC Power On, 2021-05-26T05:37:45.123, 2021-05-26T05:37:45.918, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.795416, 0.795416, Aborted, Error Message, 4, Error.Msg, Error, 
18, AC Power On, 2021-05-26T05:37:45.942, 2021-05-26T05:37:46.570, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.62779, 0.62779, Aborted, Error Message, 4, Error.Msg, Error, 
19, AC Power On, 2021-05-26T05:37:46.581, 2021-05-26T05:37:47.121, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.540099, 0.540099, Aborted, Error Message, 4, Error.Msg, Error, 
20, AC Power On, 2021-05-26T05:37:47.144, 2021-05-26T05:37:47.731, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.586924, 0.586924, Aborted, Error Message, 4, Error.Msg, Error, 
21, AC Power On, 2021-05-26T05:37:47.749, 2021-05-26T05:37:48.309, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.560423, 0.560423, Aborted, Error Message, 4, Error.Msg, Error, 
22, AC Power On, 2021-05-26T05:37:48.333, 2021-05-26T05:37:48.825, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.491729, 0.491729, Aborted, Error Message, 4, Error.Msg, Error, 
23, AC Power On, 2021-05-26T05:37:48.837, 2021-05-26T05:37:49.499, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.66249, 0.66249, Aborted, Error Message, 4, Error.Msg, Error, 
24, AC Power On, 2021-05-26T05:37:49.529, 2021-05-26T05:37:50.116, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 0.586647, 0.586647, Aborted, Error Message, 4, Error.Msg, Error, 
25, AC Power On, 2021-05-26T05:37:50.128, 2021-05-26T05:37:57.322, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 7.19423, 7.19423, Aborted, Error Message, 4, Error.Msg, Error, 
26, Power Off, 2021-05-26T05:37:57.363, 2021-05-26T05:37:58.746, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.38251, 1.38251, Aborted, Error Message, 4, Error.Msg, Error, 
27, DC Power Off, 2021-05-26T05:37:58.773, 2021-05-26T05:37:58.785, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.0112959, 0.0112959, Done, N.A, N.A, N.A, N.A, 
28, Wait 10, 2021-05-26T05:37:58.790, 2021-05-26T05:38:13.790, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0004, 15.0004, Done, N.A, N.A, N.A, N.A, 
