ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-05-26T05:42:05.897
endDateTime, 2021-05-26T05:42:34.881
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 28.9849
ModuleTime, 28.9849
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, Event ID, Severity, Error source, ResultDataType, 
4, Load Bio Rad DLL, 2021-05-26T05:42:06.124, 2021-05-26T05:42:06.274, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.149889, 0.149889, Done, N.A, N.A, N.A, N.A, 
5, Put UUT, 2021-05-26T05:42:06.285, 2021-05-26T05:42:09.300, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 3.01505, 3.01505, Passed, N.A, N.A, N.A, N.A, 
6, DC Power On, 2021-05-26T05:42:09.314, 2021-05-26T05:42:09.375, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.061057, 0.061057, Done, N.A, N.A, N.A, N.A, 
7, AC Power On, 2021-05-26T05:42:09.387, 2021-05-26T05:42:18.161, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 8.77354, 8.77354, Aborted, Error Message, 4, Error.Msg, Error, 
8, Power Off, 2021-05-26T05:42:18.211, 2021-05-26T05:42:19.821, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.60983, 1.60983, Aborted, Error Message, 4, Error.Msg, Error, 
9, DC Power Off, 2021-05-26T05:42:19.848, 2021-05-26T05:42:19.859, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.0109451, 0.0109451, Done, N.A, N.A, N.A, N.A, 
10, Wait 10, 2021-05-26T05:42:19.873, 2021-05-26T05:42:34.874, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0018, 15.0018, Done, N.A, N.A, N.A, N.A, 
