ID, administrator
name, administrator
ID, 752
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-08-27T17:00:55.258
endDateTime, 2021-08-27T17:04:42.685
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 227.427
ModuleTime, 227.427
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
753, Load Bio Rad DLL, 2021-08-27T17:00:55.304, 2021-08-27T17:00:55.305, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013139, 0.0013139, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
754, Put UUT, 2021-08-27T17:00:55.333, 2021-08-27T17:00:57.931, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.59795, 2.59795, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
755, DC Power On, 2021-08-27T17:00:57.934, 2021-08-27T17:00:58.277, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.343744, 0.343744, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
756, AC Power On, 2021-08-27T17:00:58.279, 2021-08-27T17:01:00.178, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.89923, 1.89923, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
757, Find Attached Devices, 2021-08-27T17:01:00.184, 2021-08-27T17:01:35.273, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0887, 35.0887, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
758, 12.8V No Load Test, 2021-08-27T17:01:35.279, 2021-08-27T17:01:37.029, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, true, 6, 1.74988, Failed, Numeric, 11.7334419, AND, LimitPair, N.A, volt, 12.16, 13.44, 
759, 12.8V Load 30W, 2021-08-27T17:01:37.031, 2021-08-27T17:01:38.148, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.11668, 1.11668, Passed, Numeric, 12.6037689, AND, LimitPair, N.A, volt, 12.16, 13.44, 
760, 5V No Load Test, 2021-08-27T17:01:38.154, 2021-08-27T17:01:38.904, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.749635, 0.749635, Passed, Numeric, 5.09990862, AND, LimitPair, N.A, volt, 4.75, 5.25, 
761, 5V 600mA Load, 2021-08-27T17:01:38.906, 2021-08-27T17:01:40.148, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.24199, 1.24199, Passed, Numeric, 5.01838679, AND, LimitPair, N.A, volt, 4.75, 5.25, 
762, 3.3V Voltage Check, 2021-08-27T17:01:40.154, 2021-08-27T17:01:40.877, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.723268, 0.723268, Passed, Numeric, 3.32046719, AND, LimitPair, N.A, volt, 2.85, 3.45, 
763, Battery Voltage Check, 2021-08-27T17:01:40.883, 2021-08-27T17:01:41.640, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.757055, 0.757055, Passed, Numeric, 3.21366618, AND, LimitPair, N.A, volt, 2.85, 3.45, 
764, Wait 10, 2021-08-27T17:01:41.642, 2021-08-27T17:01:51.643, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0008, 10.0008, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
765, Remote Command Set, 2021-08-27T17:01:51.645, 2021-08-27T17:03:00.160, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 68.5156, 68.5156, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
766, Initialize SRAM and HC12, 2021-08-27T17:03:00.161, 2021-08-27T17:03:09.643, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.4819, 9.4819, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
767, I2C Read Write Test, 2021-08-27T17:03:09.649, 2021-08-27T17:03:12.619, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.96944, 2.96944, Passed, Alpha VCC, 5.099668191, N.A, N.A, N.A, N.A, N.A, N.A, 
768, Get VCC Sensor Value, 2021-08-27T17:03:12.620, 2021-08-27T17:03:12.632, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0112849, 0.0112849, Passed, Numeric, 4.99712, AND, LimitPair, N.A, volt, 4.75, 5.25, 
769, Get 15V Sensor Value, 2021-08-27T17:03:12.633, 2021-08-27T17:03:12.645, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.011182, 0.011182, Passed, Numeric, 12.9876, AND, LimitPair, N.A, volt, 12.16, 13.44, 
770, Get Power Sensor Value, 2021-08-27T17:03:12.646, 2021-08-27T17:03:12.659, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0124578, 0.0124578, Passed, Numeric, 39.2916, AND, LimitPair, N.A, volt, 38, 42, 
771, Lid Left Sensor Test, 2021-08-27T17:03:12.661, 2021-08-27T17:03:12.672, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0110812, 0.0110812, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
772, Lid Right Sensor Test, 2021-08-27T17:03:12.673, 2021-08-27T17:03:12.684, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0108874, 0.0108874, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
773, HS Left Sensor Test, 2021-08-27T17:03:12.686, 2021-08-27T17:03:12.703, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0166154, 0.0166154, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
774, HS Right Sensor Test, 2021-08-27T17:03:12.704, 2021-08-27T17:03:12.716, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0122188, 0.0122188, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
775, Get Amp2 Sensor Value, 2021-08-27T17:03:12.718, 2021-08-27T17:03:12.729, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0110244, 0.0110244, Passed, Numeric, 23.7, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
776, Get Amp Sensor Value, 2021-08-27T17:03:12.731, 2021-08-27T17:03:12.743, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.012432, 0.012432, Passed, Numeric, 22.8, AND, LimitPair, N.A, degrees Celsius, 0, 50, 
777, Get Power Supply Sensor Value, 2021-08-27T17:03:12.745, 2021-08-27T17:03:12.761, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0155079, 0.0155079, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, 
