ID, administrator
name, administrator
ID, 110
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-02-28T22:54:35.765
endDateTime, 2022-02-28T23:03:36.716
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 540.952
ModuleTime, 540.952
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
111, Load Bio Rad DLL, 2022-02-28T22:54:35.804, 2022-02-28T22:54:35.806, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0015516, 0.0015516, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
112, Put UUT, 2022-02-28T22:54:35.824, 2022-02-28T22:54:37.074, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.24983, 1.24983, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
113, DC Power On, 2022-02-28T22:54:37.087, 2022-02-28T22:54:37.385, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.298298, 0.298298, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
114, AC Power On, 2022-02-28T22:54:37.387, 2022-02-28T22:54:39.118, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.73111, 1.73111, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
115, Find Attached Devices, 2022-02-28T22:54:39.121, 2022-02-28T22:54:55.310, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.1888, 16.1888, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
116, 12.8V No Load Test, 2022-02-28T22:54:55.313, 2022-02-28T22:54:56.971, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.65826, 1.65826, Passed, Numeric, 12.7900346, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
117, 12.8V Load 30W, 2022-02-28T22:54:56.972, 2022-02-28T22:54:58.108, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.13623, 1.13623, Passed, Numeric, 12.6385913, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
118, 5V No Load Test, 2022-02-28T22:54:58.116, 2022-02-28T22:54:58.845, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.728538, 0.728538, Passed, Numeric, 5.06113482, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
119, 5V 600mA Load, 2022-02-28T22:54:58.846, 2022-02-28T22:55:00.108, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.26178, 1.26178, Passed, Numeric, 5.0078709, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
120, 3.3V Voltage Check, 2022-02-28T22:55:00.114, 2022-02-28T22:55:00.852, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.737916, 0.737916, Passed, Numeric, 3.29062357, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
121, Battery Voltage Check, 2022-02-28T22:55:00.858, 2022-02-28T22:55:01.604, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.745498, 0.745498, Passed, Numeric, 3.0546651, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
122, Wait 10, 2022-02-28T22:55:01.606, 2022-02-28T22:55:11.607, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0009, 10.0009, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
