ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-02-22T03:58:10.339
endDateTime, 2022-02-22T04:05:01.006
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 410.667
ModuleTime, 410.667
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, Event ID, Severity, Error source, 
4, Load Bio Rad DLL, 2022-02-22T03:58:10.441, 2022-02-22T03:58:43.082, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 32.6408, 32.6408, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5, Put UUT, 2022-02-22T03:58:43.090, 2022-02-22T03:58:45.276, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.18575, 2.18575, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6, DC Power On, 2022-02-22T03:58:45.295, 2022-02-22T03:58:45.723, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.428121, 0.428121, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7, AC Power On, 2022-02-22T03:58:45.725, 2022-02-22T03:58:47.304, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.57874, 1.57874, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
8, Find Attached Devices, 2022-02-22T03:58:47.315, 2022-02-22T03:59:03.376, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0611, 16.0611, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, N.A, N.A, 
9, 12.8V No Load Test, 2022-02-22T03:59:03.380, 2022-02-22T03:59:05.361, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.98102, 1.98102, Passed, Numeric, 12.8642368, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, 
10, 12.8V Load 30W, 2022-02-22T03:59:05.363, 2022-02-22T03:59:06.592, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.22865, 1.22865, Passed, Numeric, 12.7215699, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, 
11, 5V No Load Test, 2022-02-22T03:59:06.595, 2022-02-22T03:59:07.340, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.744711, 0.744711, Passed, Numeric, 5.05058863, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, 
12, 5V 600mA Load, 2022-02-22T03:59:07.341, 2022-02-22T03:59:08.592, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25016, 1.25016, Passed, Numeric, 5.09248899, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, 
13, 3.3V Voltage Check, 2022-02-22T03:59:08.595, 2022-02-22T03:59:09.320, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.725267, 0.725267, Passed, Numeric, 3.3166748, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, 
14, Battery Voltage Check, 2022-02-22T03:59:09.325, 2022-02-22T03:59:10.056, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.73126, 0.73126, Passed, Numeric, 3.22123563, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, 
15, Wait 10, 2022-02-22T03:59:10.057, 2022-02-22T03:59:20.060, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0028, 10.0028, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
16, Remote Command Set, 2022-02-22T03:59:20.061, 2022-02-22T04:04:43.993, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 323.931, 323.931, Aborted, Terminated, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
17, Power Off, 2022-02-22T04:04:43.993, 2022-02-22T04:04:45.451, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.45789, 1.45789, Aborted, Error, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
18, DC Power Off, 2022-02-22T04:04:45.451, 2022-02-22T04:04:45.988, ID#:uHxAHNpOc02A2ZVKR0dFLB, Test, Action, Cleanup, 0, 1, 0.537255, 0.537255, Aborted, Error, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
19, Wait 10, 2022-02-22T04:04:45.988, 2022-02-22T04:05:00.1000, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0117, 15.0117, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
