ID, administrator
name, administrator
ID, 3647
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-02-16T07:04:41.277
endDateTime, 2022-02-16T07:13:14.611
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 513.335
ModuleTime, 513.335
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
3648, Load Bio Rad DLL, 2022-02-16T07:04:41.317, 2022-02-16T07:04:41.318, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011299, 0.0011299, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3649, Put UUT, 2022-02-16T07:04:41.335, 2022-02-16T07:04:42.914, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.57864, 1.57864, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3650, DC Power On, 2022-02-16T07:04:42.917, 2022-02-16T07:04:43.299, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.382017, 0.382017, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3651, AC Power On, 2022-02-16T07:04:43.299, 2022-02-16T07:04:45.218, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.9187, 1.9187, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
3652, Find Attached Devices, 2022-02-16T07:04:45.222, 2022-02-16T07:05:20.311, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0889, 35.0889, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
3653, 12.8V No Load Test, 2022-02-16T07:05:20.316, 2022-02-16T07:05:22.004, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.68844, 1.68844, Passed, Numeric, 12.8194981, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
3654, 12.8V Load 30W, 2022-02-16T07:05:22.006, 2022-02-16T07:05:23.469, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.463, 1.463, Passed, Numeric, 12.6798522, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
3655, 5V No Load Test, 2022-02-16T07:05:23.474, 2022-02-16T07:05:24.213, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.739732, 0.739732, Passed, Numeric, 5.0537072, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
3656, 5V 600mA Load, 2022-02-16T07:05:24.215, 2022-02-16T07:05:25.468, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25298, 1.25298, Passed, Numeric, 4.99880993, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
3657, 3.3V Voltage Check, 2022-02-16T07:05:25.472, 2022-02-16T07:05:26.199, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.72659, 0.72659, Passed, Numeric, 3.34506841, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
