ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-02-17T17:36:34.996
endDateTime, 2022-02-17T17:37:29.806
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 54.8103
ModuleTime, 54.8103
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
4, Load Bio Rad DLL, 2022-02-17T17:36:35.107, 2022-02-17T17:36:52.756, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 17.6496, 17.6496, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5, Put UUT, 2022-02-17T17:36:52.763, 2022-02-17T17:36:54.202, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.43869, 1.43869, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6, DC Power On, 2022-02-17T17:36:54.208, 2022-02-17T17:36:54.816, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.607867, 0.607867, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7, AC Power On, 2022-02-17T17:36:54.816, 2022-02-17T17:36:56.808, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.99171, 1.99171, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
8, Find Attached Devices, 2022-02-17T17:36:56.812, 2022-02-17T17:37:12.874, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0622, 16.0622, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
9, 12.8V No Load Test, 2022-02-17T17:37:12.879, 2022-02-17T17:37:14.780, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.90034, 1.90034, Passed, Numeric, 12.786702, AND, LimitPair, N.A, volt, 12.16, 13.44, 
10, 12.8V Load 30W, 2022-02-17T17:37:14.781, 2022-02-17T17:37:15.951, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.17051, 1.17051, Passed, Numeric, 12.6450931, AND, LimitPair, N.A, volt, 12.16, 13.44, 
11, 5V No Load Test, 2022-02-17T17:37:15.954, 2022-02-17T17:37:16.671, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.716679, 0.716679, Passed, Numeric, 5.08094329, AND, LimitPair, N.A, volt, 4.75, 5.25, 
12, 5V 600mA Load, 2022-02-17T17:37:16.672, 2022-02-17T17:37:17.951, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27873, 1.27873, Passed, Numeric, 5.06408569, AND, LimitPair, N.A, volt, 4.75, 5.25, 
13, 3.3V Voltage Check, 2022-02-17T17:37:17.955, 2022-02-17T17:37:18.661, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.706067, 0.706067, Passed, Numeric, 3.2953448, AND, LimitPair, N.A, volt, 2.85, 3.45, 
14, Battery Voltage Check, 2022-02-17T17:37:18.665, 2022-02-17T17:37:19.388, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, true, 14, 0.722998, Failed, Numeric, 0.0388096121, AND, LimitPair, N.A, volt, 2.85, 3.45, 
15, Wait 10, 2022-02-17T17:37:19.389, 2022-02-17T17:37:26.046, ID#:731Py5h0n0O4z4TxEZWZlC, Test, NI_Wait, Main, 0, 15, 6.65692, 6.65692, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
16, Power Off, 2022-02-17T17:37:26.046, 2022-02-17T17:37:27.901, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.85476, 1.85476, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
17, DC Power Off, 2022-02-17T17:37:27.901, 2022-02-17T17:37:28.242, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.341258, 0.341258, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
18, Wait 10, 2022-02-17T17:37:28.242, 2022-02-17T17:37:29.797, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 1.55434, 1.55434, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
