ID, administrator
name, administrator
ID, 1715
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-21T21:26:57.235
endDateTime, 2022-04-21T21:35:35.459
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 518.224
ModuleTime, 518.224
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
1716, Load Bio Rad DLL, 2022-04-21T21:26:57.274, 2022-04-21T21:26:57.275, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0009588, 0.0009588, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1717, Put UUT, 2022-04-21T21:26:57.293, 2022-04-21T21:26:58.424, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.13069, 1.13069, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1718, DC Power On, 2022-04-21T21:26:58.427, 2022-04-21T21:26:58.849, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.422013, 0.422013, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1719, AC Power On, 2022-04-21T21:26:58.850, 2022-04-21T21:27:00.892, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 2.0422, 2.0422, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1720, Find Attached Devices, 2022-04-21T21:27:00.898, 2022-04-21T21:27:15.932, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0334, 15.0334, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
1721, 12.8V No Load Test, 2022-04-21T21:27:15.934, 2022-04-21T21:27:17.616, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.6812, 1.6812, Passed, Numeric, 12.7522431, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1722, 12.8V Load 30W, 2022-04-21T21:27:17.617, 2022-04-21T21:27:18.889, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.27241, 1.27241, Passed, Numeric, 12.6120428, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1723, 5V No Load Test, 2022-04-21T21:27:18.892, 2022-04-21T21:27:19.609, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.716773, 0.716773, Passed, Numeric, 5.05287246, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1724, 5V 600mA Load, 2022-04-21T21:27:19.610, 2022-04-21T21:27:20.889, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27933, 1.27933, Passed, Numeric, 5.07124785, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1725, 3.3V Voltage Check, 2022-04-21T21:27:20.895, 2022-04-21T21:27:21.657, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.762012, 0.762012, Passed, Numeric, 3.30870013, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1726, Battery Voltage Check, 2022-04-21T21:27:21.664, 2022-04-21T21:27:22.422, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.757956, 0.757956, Passed, Numeric, 3.22943615, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1727, Wait 10, 2022-04-21T21:27:22.423, 2022-04-21T21:27:32.424, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0004, 10.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1728, Remote Command Set, 2022-04-21T21:27:32.425, 2022-04-21T21:28:40.212, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.7868, 67.7868, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1729, Initialize SRAM and HC12, 2022-04-21T21:28:40.213, 2022-04-21T21:28:49.702, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48847, 9.48847, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1730, I2C Read Write Test, 2022-04-21T21:28:49.705, 2022-04-21T21:28:52.631, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.92544, 2.92544, Passed, Alpha VCC, 5.05407265, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1731, Get VCC Sensor Value, 2022-04-21T21:28:52.632, 2022-04-21T21:28:52.644, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0113857, 0.0113857, Passed, Numeric, 5.002, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1732, Get 15V Sensor Value, 2022-04-21T21:28:52.646, 2022-04-21T21:28:52.662, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0167816, 0.0167816, Passed, Numeric, 13.10136, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1733, Get Power Sensor Value, 2022-04-21T21:28:52.664, 2022-04-21T21:28:52.676, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0122784, 0.0122784, Passed, Numeric, 39.6752, AND, LimitPair, N.A, volt, 38, 42, N.A, 
1734, Lid Left Sensor Test, 2022-04-21T21:28:52.678, 2022-04-21T21:28:52.689, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0109295, 0.0109295, Passed, Numeric, 52.9, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1735, Lid Right Sensor Test, 2022-04-21T21:28:52.691, 2022-04-21T21:28:52.702, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0109651, 0.0109651, Passed, Numeric, 52.9, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1736, HS Left Sensor Test, 2022-04-21T21:28:52.704, 2022-04-21T21:28:52.717, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0122836, 0.0122836, Passed, Numeric, 52.9, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1737, HS Right Sensor Test, 2022-04-21T21:28:52.718, 2022-04-21T21:28:52.729, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0107796, 0.0107796, Passed, Numeric, 52.9, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1738, Get Amp2 Sensor Value, 2022-04-21T21:28:52.731, 2022-04-21T21:28:52.742, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0111402, 0.0111402, Passed, Numeric, 21.6, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
1739, Get Amp Sensor Value, 2022-04-21T21:28:52.744, 2022-04-21T21:28:52.761, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0168, 0.0168, Passed, Numeric, 20.9, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
1740, Get Power Supply Sensor Value, 2022-04-21T21:28:52.762, 2022-04-21T21:28:52.774, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0111193, 0.0111193, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
1741, SRAM Page 0 Check, 2022-04-21T21:28:52.780, 2022-04-21T21:29:38.839, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 46.059, 46.059, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
