ID, administrator
name, administrator
ID, 217
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-08-08T09:49:27.893
endDateTime, 2021-08-08T09:49:49.705
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 21.8121
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
218, Load Bio Rad DLL, 2021-08-08T09:49:27.935, 2021-08-08T09:49:27.936, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0010611, 0.0010611, Done, 
219, Put UUT, 2021-08-08T09:49:27.970, 2021-08-08T09:49:32.426, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 4.45601, Failed, 
220, Power Off, 2021-08-08T09:49:32.439, 2021-08-08T09:49:34.379, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.93976, 1.93976, Done, 
221, DC Power Off, 2021-08-08T09:49:34.389, 2021-08-08T09:49:34.682, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.293013, 0.293013, Done, 
222, Wait 10, 2021-08-08T09:49:34.692, 2021-08-08T09:49:49.694, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0013, 15.0013, Done, 
