ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-07-05T13:48:28.828
endDateTime, 2021-07-05T13:48:47.304
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 18.4765
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2021-07-05T13:48:28.943, 2021-07-05T13:48:29.039, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0956767, 0.0956767, Done, 
5, Put UUT, 2021-07-05T13:48:29.048, 2021-07-05T13:48:30.364, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 1.31599, Failed, 
6, Power Off, 2021-07-05T13:48:30.385, 2021-07-05T13:48:31.924, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.53882, 1.53882, Done, 
7, DC Power Off, 2021-07-05T13:48:31.935, 2021-07-05T13:48:32.280, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.344993, 0.344993, Done, 
8, Wait 10, 2021-07-05T13:48:32.291, 2021-07-05T13:48:47.293, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0018, 15.0018, Done, 
