ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-11T16:00:01.038
endDateTime, 2020-08-11T16:00:17.293
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 16.2558
ModuleTime, 16.2558
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2020-08-11T16:00:01.223, 2020-08-11T16:00:01.224, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0016727, 0.0016727, Done, 
5, Put UUT, 2020-08-11T16:00:01.245, 2020-08-11T16:00:02.652, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.40744, 1.40744, Passed, 
6, DC Power On, 2020-08-11T16:00:02.675, 2020-08-11T16:00:02.905, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.230621, 0.230621, Done, 
7, AC Power On, 2020-08-11T16:00:02.907, 2020-08-11T16:00:04.985, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 2.0783, 2.0783, Aborted, 
8, Power Off, 2020-08-11T16:00:10.528, 2020-08-11T16:00:12.594, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 2.0666, 2.0666, Done, 
9, DC Power Off, 2020-08-11T16:00:12.594, 2020-08-11T16:00:12.621, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.0270274, 0.0270274, Done, 
10, Wait 10, 2020-08-11T16:00:12.622, 2020-08-11T16:00:17.284, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 4.66198, 4.66198, Aborted, 
