ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-05T16:11:09.923
endDateTime, 2020-08-05T16:24:20.634
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 790.712
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, Event ID, Severity, Error source, 
4, Load Bio Rad DLL, 2020-08-05T16:11:10.105, 2020-08-05T16:11:43.999, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 33.8936, 33.8936, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5, Put UUT, 2020-08-05T16:11:44.009, 2020-08-05T16:11:46.510, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.50096, 2.50096, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6, DC Power On, 2020-08-05T16:11:46.526, 2020-08-05T16:11:47.062, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.536206, 0.536206, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7, AC Power On, 2020-08-05T16:11:47.107, 2020-08-05T16:11:48.712, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.60493, 1.60493, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
8, Find Attached Devices, 2020-08-05T16:11:48.715, 2020-08-05T16:12:04.769, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 16.0534, 16.0534, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
9, 12.8V No Load Test, 2020-08-05T16:12:04.773, 2020-08-05T16:12:06.354, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.58151, 1.58151, Passed, Numeric, 12.7884921, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, N.A, 
10, 12.8V Load 30W, 2020-08-05T16:12:06.356, 2020-08-05T16:12:07.854, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.49853, 1.49853, Passed, Numeric, 12.7891743, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, N.A, 
11, 5V No Load Test, 2020-08-05T16:12:07.858, 2020-08-05T16:12:08.573, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.714371, 0.714371, Passed, Numeric, 5.06817067, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, N.A, 
12, 5V 600mA Load, 2020-08-05T16:12:08.574, 2020-08-05T16:12:09.853, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.279, 1.279, Passed, Numeric, 5.04479237, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, N.A, 
13, 3.3V Voltage Check, 2020-08-05T16:12:09.857, 2020-08-05T16:12:10.570, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.712748, 0.712748, Passed, Numeric, 3.29539658, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, N.A, 
14, Battery Voltage Check, 2020-08-05T16:12:10.574, 2020-08-05T16:12:11.290, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.715882, 0.715882, Passed, Numeric, 3.21678046, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, N.A, 
15, Wait 10, 2020-08-05T16:12:11.291, 2020-08-05T16:12:21.292, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0007, 10.0007, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
16, Remote Command Set, 2020-08-05T16:12:21.293, 2020-08-05T16:13:28.816, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.5232, 67.5232, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
17, Initialize SRAM and HC12, 2020-08-05T16:13:28.818, 2020-08-05T16:13:38.306, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48766, 9.48766, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
18, I2C Read Write Test, 2020-08-05T16:13:38.309, 2020-08-05T16:13:41.147, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.83737, 2.83737, Passed, Alpha VCC, 5.0690879025, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
19, Get VCC Sensor Value, 2020-08-05T16:13:41.148, 2020-08-05T16:13:41.160, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0115623, 0.0115623, Passed, Numeric, 5.01176, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, N.A, 
20, Get 15V Sensor Value, 2020-08-05T16:13:41.161, 2020-08-05T16:13:41.173, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0112045, 0.0112045, Passed, Numeric, 13.06344, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, N.A, 
21, Get Power Sensor Value, 2020-08-05T16:13:41.174, 2020-08-05T16:13:41.190, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0157362, 0.0157362, Passed, Numeric, 39.3738, AND, LimitPair, N.A, volt, 38, 42, N.A, N.A, N.A, N.A, 
22, Lid Left Sensor Test, 2020-08-05T16:13:41.191, 2020-08-05T16:13:41.202, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0110183, 0.0110183, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, N.A, N.A, N.A, 
23, Lid Right Sensor Test, 2020-08-05T16:13:41.204, 2020-08-05T16:13:41.214, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0102377, 0.0102377, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, N.A, N.A, N.A, 
24, HS Left Sensor Test, 2020-08-05T16:13:41.216, 2020-08-05T16:13:41.226, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0108195, 0.0108195, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, N.A, N.A, N.A, 
25, HS Right Sensor Test, 2020-08-05T16:13:41.228, 2020-08-05T16:13:41.243, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0151145, 0.0151145, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, N.A, N.A, N.A, 
26, Get Amp2 Sensor Value, 2020-08-05T16:13:41.245, 2020-08-05T16:13:41.257, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.012181, 0.012181, Passed, Numeric, 24.9, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, N.A, N.A, N.A, 
