ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-04-06T16:24:18.822
endDateTime, 2022-04-06T16:25:16.554
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 57.7321
ModuleTime, 57.7321
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, Event ID, Severity, Error source, ResultDataType, 
4, Load Bio Rad DLL, 2022-04-06T16:24:18.937, 2022-04-06T16:24:37.800, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 18.8627, 18.8627, Done, N.A, N.A, N.A, N.A, 
5, Put UUT, 2022-04-06T16:24:37.809, 2022-04-06T16:24:40.486, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 2.67701, 2.67701, Passed, N.A, N.A, N.A, N.A, 
6, DC Power On, 2022-04-06T16:24:40.503, 2022-04-06T16:24:40.685, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.182005, 0.182005, Done, N.A, N.A, N.A, N.A, 
7, AC Power On, 2022-04-06T16:24:40.686, 2022-04-06T16:25:00.052, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 19.3669, 19.3669, Aborted, Error Message, 4, Error.Msg, Error, 
8, Power Off, 2022-04-06T16:25:00.086, 2022-04-06T16:25:01.457, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.37051, 1.37051, Aborted, Error Message, 4, Error.Msg, Error, 
9, DC Power Off, 2022-04-06T16:25:01.461, 2022-04-06T16:25:01.495, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.0336985, 0.0336985, Done, N.A, N.A, N.A, N.A, 
10, Wait 10, 2022-04-06T16:25:01.538, 2022-04-06T16:25:16.540, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.002, 15.002, Done, N.A, N.A, N.A, N.A, 
