ID, administrator
name, administrator
ID, 830
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-09T16:24:44.939
endDateTime, 2020-09-09T16:28:30.527
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 225.589
ModuleTime, 225.589
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
831, Load Bio Rad DLL, 2020-09-09T16:24:44.996, 2020-09-09T16:24:44.997, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.001402, 0.001402, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
832, Put UUT, 2020-09-09T16:24:45.024, 2020-09-09T16:24:54.806, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 9.78254, 9.78254, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
833, DC Power On, 2020-09-09T16:24:54.808, 2020-09-09T16:24:55.129, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.320418, 0.320418, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
834, AC Power On, 2020-09-09T16:24:55.130, 2020-09-09T16:24:56.953, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.82353, 1.82353, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
835, Find Attached Devices, 2020-09-09T16:24:56.957, 2020-09-09T16:25:11.992, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0352, 15.0352, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
836, 12.8V No Load Test, 2020-09-09T16:25:11.996, 2020-09-09T16:25:13.224, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22812, 1.22812, Passed, Numeric, 12.8494445, AND, LimitPair, N.A, volt, 12.16, 13.44, 
837, 12.8V Load 30W, 2020-09-09T16:25:13.226, 2020-09-09T16:25:14.805, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.57933, 1.57933, Passed, Numeric, 12.5817917, AND, LimitPair, N.A, volt, 12.16, 13.44, 
838, 5V No Load Test, 2020-09-09T16:25:14.809, 2020-09-09T16:25:15.528, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.719783, 0.719783, Passed, Numeric, 5.06076958, AND, LimitPair, N.A, volt, 4.75, 5.25, 
839, 5V 600mA Load, 2020-09-09T16:25:15.530, 2020-09-09T16:25:16.805, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27497, 1.27497, Passed, Numeric, 5.00945862, AND, LimitPair, N.A, volt, 4.75, 5.25, 
840, 3.3V Voltage Check, 2020-09-09T16:25:16.809, 2020-09-09T16:25:17.528, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.71901, 0.71901, Passed, Numeric, 3.32374142, AND, LimitPair, N.A, volt, 2.85, 3.45, 
841, Battery Voltage Check, 2020-09-09T16:25:17.532, 2020-09-09T16:25:18.251, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.719614, 0.719614, Passed, Numeric, 3.19044918, AND, LimitPair, N.A, volt, 2.85, 3.45, 
842, Wait 10, 2020-09-09T16:25:18.253, 2020-09-09T16:25:28.253, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0003, 10.0003, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
843, Remote Command Set, 2020-09-09T16:25:28.254, 2020-09-09T16:26:35.540, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.286, 67.286, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
844, Initialize SRAM and HC12, 2020-09-09T16:26:35.542, 2020-09-09T16:26:45.023, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48104, 9.48104, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
845, I2C Read Write Test, 2020-09-09T16:26:45.029, 2020-09-09T16:26:47.932, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.9032, 2.9032, Passed, Alpha VCC, 5.0612545145, N.A, N.A, N.A, N.A, N.A, N.A, 
846, Get VCC Sensor Value, 2020-09-09T16:26:47.934, 2020-09-09T16:26:47.944, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0101888, 0.0101888, Passed, Numeric, 5.00688, AND, LimitPair, N.A, volt, 4.75, 5.25, 
847, Get 15V Sensor Value, 2020-09-09T16:26:47.945, 2020-09-09T16:26:47.955, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0100733, 0.0100733, Passed, Numeric, 13.13928, AND, LimitPair, N.A, volt, 12.16, 13.44, 
848, Get Power Sensor Value, 2020-09-09T16:26:47.956, 2020-09-09T16:26:47.967, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0101424, 0.0101424, Passed, Numeric, 39.3464, AND, LimitPair, N.A, volt, 38, 42, 
849, Lid Left Sensor Test, 2020-09-09T16:26:47.968, 2020-09-09T16:26:47.983, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0149661, 0.0149661, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
850, Lid Right Sensor Test, 2020-09-09T16:26:47.984, 2020-09-09T16:26:47.994, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.009627, 0.009627, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
851, HS Left Sensor Test, 2020-09-09T16:26:47.995, 2020-09-09T16:26:48.005, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0097566, 0.0097566, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
852, HS Right Sensor Test, 2020-09-09T16:26:48.006, 2020-09-09T16:26:48.016, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0096174, 0.0096174, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, 
