ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-05-26T05:23:56.756
endDateTime, 2021-05-26T05:24:16.416
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 19.6607
ModuleTime, 19.6607
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, Event ID, Severity, Error source, ResultDataType, 
4, Load Bio Rad DLL, 2021-05-26T05:23:56.975, 2021-05-26T05:23:57.850, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.874814, 0.874814, Done, N.A, N.A, N.A, N.A, 
5, Put UUT, 2021-05-26T05:23:57.863, 2021-05-26T05:23:59.404, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.541, 1.541, Passed, N.A, N.A, N.A, N.A, 
6, DC Power On, 2021-05-26T05:23:59.419, 2021-05-26T05:23:59.455, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.0359055, 0.0359055, Done, N.A, N.A, N.A, N.A, 
7, AC Power On, 2021-05-26T05:23:59.457, 2021-05-26T05:24:05.619, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 6.1624, 6.1624, Aborted, Error Message, 4, Error.Msg, Error, 
8, Power Off, 2021-05-26T05:24:05.655, 2021-05-26T05:24:07.192, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.53676, 1.53676, Aborted, Error Message, 4, Error.Msg, Error, 
9, DC Power Off, 2021-05-26T05:24:07.214, 2021-05-26T05:24:07.226, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.01198, 0.01198, Done, N.A, N.A, N.A, N.A, 
10, Wait 10, 2021-05-26T05:24:07.233, 2021-05-26T05:24:16.409, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 9.17579, 9.17579, Aborted, N.A, N.A, N.A, N.A, 
