ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-05-26T05:50:05.172
endDateTime, 2021-05-26T05:53:24.641
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 199.469
ModuleTime, 199.469
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, Event ID, Severity, Error source, ResultDataType, 
4, Load Bio Rad DLL, 2021-05-26T05:50:05.374, 2021-05-26T05:50:05.482, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.107761, 0.107761, Done, N.A, N.A, N.A, N.A, 
5, Put UUT, 2021-05-26T05:50:05.491, 2021-05-26T05:50:07.287, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.79623, 1.79623, Passed, N.A, N.A, N.A, N.A, 
6, DC Power On, 2021-05-26T05:50:07.294, 2021-05-26T05:50:07.340, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.0460099, 0.0460099, Done, N.A, N.A, N.A, N.A, 
7, AC Power On, 2021-05-26T05:50:07.342, 2021-05-26T05:53:08.251, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 180.91, 180.91, Aborted, Error Message, 4, Error.Msg, Error, 
8, Power Off, 2021-05-26T05:53:08.317, 2021-05-26T05:53:09.550, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.23299, 1.23299, Aborted, Error Message, 4, Error.Msg, Error, 
9, DC Power Off, 2021-05-26T05:53:09.567, 2021-05-26T05:53:09.584, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.0168039, 0.0168039, Done, N.A, N.A, N.A, N.A, 
10, Wait 10, 2021-05-26T05:53:09.634, 2021-05-26T05:53:24.635, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0014, 15.0014, Done, N.A, N.A, N.A, N.A, 
