ID, administrator
name, administrator
ID, 2759
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-29T17:13:04.103
endDateTime, 2020-08-29T17:21:21.098
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 496.995
ModuleTime, 496.995
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
2760, Load Bio Rad DLL, 2020-08-29T17:13:04.159, 2020-08-29T17:13:04.161, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012137, 0.0012137, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2761, Put UUT, 2020-08-29T17:13:04.183, 2020-08-29T17:13:08.509, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.32605, 4.32605, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2762, DC Power On, 2020-08-29T17:13:08.526, 2020-08-29T17:13:08.852, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.325485, 0.325485, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2763, AC Power On, 2020-08-29T17:13:08.853, 2020-08-29T17:13:10.669, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.81607, 1.81607, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2764, Find Attached Devices, 2020-08-29T17:13:10.673, 2020-08-29T17:13:36.477, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 25.8043, 25.8043, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
2765, 12.8V No Load Test, 2020-08-29T17:13:36.483, 2020-08-29T17:13:37.729, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.24641, 1.24641, Passed, Numeric, 12.797524, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2766, 12.8V Load 30W, 2020-08-29T17:13:37.732, 2020-08-29T17:13:39.309, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.5773, 1.5773, Passed, Numeric, 12.5396144, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
2767, 5V No Load Test, 2020-08-29T17:13:39.315, 2020-08-29T17:13:40.057, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.742, 0.742, Passed, Numeric, 5.07176984, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2768, 5V 600mA Load, 2020-08-29T17:13:40.058, 2020-08-29T17:13:41.310, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.25137, 1.25137, Passed, Numeric, 5.02937186, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
2769, 3.3V Voltage Check, 2020-08-29T17:13:41.314, 2020-08-29T17:13:42.028, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.714177, 0.714177, Passed, Numeric, 3.31126383, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2770, Battery Voltage Check, 2020-08-29T17:13:42.031, 2020-08-29T17:13:42.748, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.71692, 0.71692, Passed, Numeric, 3.21316403, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
2771, Wait 10, 2020-08-29T17:13:42.750, 2020-08-29T17:13:52.750, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0002, 10.0002, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
2772, Remote Command Set, 2020-08-29T17:13:52.751, 2020-08-29T17:14:59.821, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.0692, 67.0692, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
