ID, administrator
name, administrator
ID, 7741
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-30T12:02:17.398
endDateTime, 2020-08-30T12:05:44.765
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 207.367
ModuleTime, 207.367
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, 
7742, Load Bio Rad DLL, 2020-08-30T12:02:17.454, 2020-08-30T12:02:17.455, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012687, 0.0012687, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7743, Put UUT, 2020-08-30T12:02:17.477, 2020-08-30T12:02:22.527, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 5.04991, 5.04991, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7744, DC Power On, 2020-08-30T12:02:22.529, 2020-08-30T12:02:22.862, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.333611, 0.333611, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7745, AC Power On, 2020-08-30T12:02:22.864, 2020-08-30T12:02:24.656, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.79227, 1.79227, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7746, Find Attached Devices, 2020-08-30T12:02:24.660, 2020-08-30T12:02:39.695, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0356, 15.0356, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, 
7747, 12.8V No Load Test, 2020-08-30T12:02:39.699, 2020-08-30T12:02:40.921, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22221, 1.22221, Passed, Numeric, 12.6937558, AND, LimitPair, N.A, volt, 12.16, 13.44, 
7748, 12.8V Load 30W, 2020-08-30T12:02:40.923, 2020-08-30T12:02:42.297, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.37442, 1.37442, Passed, Numeric, 12.4411113, AND, LimitPair, N.A, volt, 12.16, 13.44, 
7749, 5V No Load Test, 2020-08-30T12:02:42.301, 2020-08-30T12:02:43.012, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.711279, 0.711279, Passed, Numeric, 5.06123362, AND, LimitPair, N.A, volt, 4.75, 5.25, 
7750, 5V 600mA Load, 2020-08-30T12:02:43.014, 2020-08-30T12:02:44.297, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.28325, 1.28325, Passed, Numeric, 5.08583791, AND, LimitPair, N.A, volt, 4.75, 5.25, 
7751, 3.3V Voltage Check, 2020-08-30T12:02:44.301, 2020-08-30T12:02:45.012, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.711043, 0.711043, Passed, Numeric, 3.32808636, AND, LimitPair, N.A, volt, 2.85, 3.45, 
