ID, administrator
name, administrator
ID, 7800
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-30T12:07:03.072
endDateTime, 2020-08-30T12:14:38.316
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, true
TotalTime, 9
ModuleTime, 455.245
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
7801, Load Bio Rad DLL, 2020-08-30T12:07:03.122, 2020-08-30T12:07:03.123, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0010955, 0.0010955, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7802, Put UUT, 2020-08-30T12:07:03.160, 2020-08-30T12:07:11.078, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 7.91822, 7.91822, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7803, DC Power On, 2020-08-30T12:07:11.094, 2020-08-30T12:07:11.394, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.299484, 0.299484, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7804, AC Power On, 2020-08-30T12:07:11.396, 2020-08-30T12:07:12.977, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.58162, 1.58162, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7805, Find Attached Devices, 2020-08-30T12:07:12.981, 2020-08-30T12:07:28.019, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.0379, 15.0379, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
7806, 12.8V No Load Test, 2020-08-30T12:07:28.023, 2020-08-30T12:07:29.244, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.22116, 1.22116, Passed, Numeric, 12.6875985, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
7807, 12.8V Load 30W, 2020-08-30T12:07:29.246, 2020-08-30T12:07:30.802, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.55637, 1.55637, Passed, Numeric, 12.4355369, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
7808, 5V No Load Test, 2020-08-30T12:07:30.806, 2020-08-30T12:07:31.517, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.710964, 0.710964, Passed, Numeric, 5.06180975, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
7809, 5V 600mA Load, 2020-08-30T12:07:31.518, 2020-08-30T12:07:32.802, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.2835, 1.2835, Passed, Numeric, 5.08597659, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
7810, 3.3V Voltage Check, 2020-08-30T12:07:32.806, 2020-08-30T12:07:33.524, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.718261, 0.718261, Passed, Numeric, 3.3285821, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
7811, Battery Voltage Check, 2020-08-30T12:07:33.528, 2020-08-30T12:07:34.244, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.715851, 0.715851, Passed, Numeric, 3.188049, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
7812, Wait 10, 2020-08-30T12:07:34.245, 2020-08-30T12:07:44.246, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0005, 10.0005, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7813, Remote Command Set, 2020-08-30T12:07:44.247, 2020-08-30T12:08:51.582, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.3345, 67.3345, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7814, Initialize SRAM and HC12, 2020-08-30T12:08:51.583, 2020-08-30T12:09:01.066, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.48281, 9.48281, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7815, I2C Read Write Test, 2020-08-30T12:09:01.070, 2020-08-30T12:09:03.918, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.84799, 2.84799, Passed, Alpha VCC, 5.061703871, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7816, Get VCC Sensor Value, 2020-08-30T12:09:03.919, 2020-08-30T12:09:03.934, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0149786, 0.0149786, Passed, Numeric, 4.99224, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
7817, Get 15V Sensor Value, 2020-08-30T12:09:03.936, 2020-08-30T12:09:03.946, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0101906, 0.0101906, Passed, Numeric, 12.47568, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
7818, Get Power Sensor Value, 2020-08-30T12:09:03.947, 2020-08-30T12:09:03.958, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0101888, 0.0101888, Passed, Numeric, 39.4012, AND, LimitPair, N.A, volt, 38, 42, N.A, 
7819, Lid Left Sensor Test, 2020-08-30T12:09:03.959, 2020-08-30T12:09:03.969, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0096816, 0.0096816, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7820, Lid Right Sensor Test, 2020-08-30T12:09:03.970, 2020-08-30T12:09:03.984, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0138773, 0.0138773, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7821, HS Left Sensor Test, 2020-08-30T12:09:03.986, 2020-08-30T12:09:03.995, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0097228, 0.0097228, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7822, HS Right Sensor Test, 2020-08-30T12:09:03.997, 2020-08-30T12:09:04.006, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0096835, 0.0096835, Passed, Numeric, 52.9, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
7823, Get Amp2 Sensor Value, 2020-08-30T12:09:04.008, 2020-08-30T12:09:04.018, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0100582, 0.0100582, Passed, Numeric, 24.2, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
