ID, administrator
name, administrator
ID, 851
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-01T14:39:01.088
endDateTime, 2020-09-01T14:39:13.612
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 12.5243
ModuleTime, 12.5243
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
852, Load Bio Rad DLL, 2020-09-01T14:39:01.145, 2020-09-01T14:39:01.146, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0012497, 0.0012497, Done, 
853, Put UUT, 2020-09-01T14:39:01.170, 2020-09-01T14:39:04.759, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, true, 0, 3.58978, Failed, 
854, Power Off, 2020-09-01T14:39:04.787, 2020-09-01T14:39:06.509, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.72192, 1.72192, Done, 
855, DC Power Off, 2020-09-01T14:39:06.513, 2020-09-01T14:39:06.831, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.318706, 0.318706, Done, 
856, Wait 10, 2020-09-01T14:39:06.835, 2020-09-01T14:39:13.602, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 6.76731, 6.76731, Aborted, 
