ID, administrator
name, administrator
ID, 850
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-08T10:24:56.323
endDateTime, 2020-09-08T10:33:09.942
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 493.619
ModuleTime, 493.619
Outcome, Failed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
851, Load Bio Rad DLL, 2020-09-08T10:24:56.379, 2020-09-08T10:24:56.381, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0013609, 0.0013609, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
852, Put UUT, 2020-09-08T10:24:56.406, 2020-09-08T10:25:00.973, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 4.56662, 4.56662, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
853, DC Power On, 2020-09-08T10:25:00.974, 2020-09-08T10:25:01.280, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.305076, 0.305076, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
854, AC Power On, 2020-09-08T10:25:01.281, 2020-09-08T10:25:03.120, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.83949, 1.83949, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
855, Find Attached Devices, 2020-09-08T10:25:03.124, 2020-09-08T10:25:38.211, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 35.0875, 35.0875, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
856, 12.8V No Load Test, 2020-09-08T10:25:38.215, 2020-09-08T10:25:39.447, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.23171, 1.23171, Passed, Numeric, 12.8948295, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
857, 12.8V Load 30W, 2020-09-08T10:25:39.448, 2020-09-08T10:25:40.809, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.36103, 1.36103, Passed, Numeric, 12.6438229, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
858, 5V No Load Test, 2020-09-08T10:25:40.813, 2020-09-08T10:25:41.534, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.720737, 0.720737, Passed, Numeric, 5.11117214, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
859, 5V 600mA Load, 2020-09-08T10:25:41.535, 2020-09-08T10:25:42.809, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.27416, 1.27416, Passed, Numeric, 5.04358153, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
860, 3.3V Voltage Check, 2020-09-08T10:25:42.813, 2020-09-08T10:25:43.533, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.720369, 0.720369, Passed, Numeric, 3.30288882, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
861, Battery Voltage Check, 2020-09-08T10:25:43.537, 2020-09-08T10:25:44.259, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, true, 14, 0.722358, Failed, Numeric, 0.00695662201, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
862, Wait 10, 2020-09-08T10:25:44.261, 2020-09-08T10:25:54.261, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0007, 10.0007, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
863, Remote Command Set, 2020-09-08T10:25:54.262, 2020-09-08T10:27:01.284, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.0217, 67.0217, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
864, Initialize SRAM and HC12, 2020-09-08T10:27:01.286, 2020-09-08T10:27:10.778, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49189, 9.49189, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
865, I2C Read Write Test, 2020-09-08T10:27:10.781, 2020-09-08T10:27:13.671, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.88982, 2.88982, Passed, Alpha VCC, 5.111274962, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
866, Get VCC Sensor Value, 2020-09-08T10:27:13.672, 2020-09-08T10:27:13.683, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0102137, 0.0102137, Passed, Numeric, 4.99712, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
867, Get 15V Sensor Value, 2020-09-08T10:27:13.684, 2020-09-08T10:27:13.700, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0157236, 0.0157236, Passed, Numeric, 13.10136, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
868, Get Power Sensor Value, 2020-09-08T10:27:13.701, 2020-09-08T10:27:13.711, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0101203, 0.0101203, Passed, Numeric, 39.0176, AND, LimitPair, N.A, volt, 38, 42, N.A, 
869, Lid Left Sensor Test, 2020-09-08T10:27:13.713, 2020-09-08T10:27:13.722, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0098524, 0.0098524, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
870, Lid Right Sensor Test, 2020-09-08T10:27:13.724, 2020-09-08T10:27:13.734, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0099523, 0.0099523, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
871, HS Left Sensor Test, 2020-09-08T10:27:13.735, 2020-09-08T10:27:13.750, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0154874, 0.0154874, Passed, Numeric, 53.1, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
872, HS Right Sensor Test, 2020-09-08T10:27:13.752, 2020-09-08T10:27:13.761, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0097446, 0.0097446, Passed, Numeric, 53.1, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
873, Get Amp2 Sensor Value, 2020-09-08T10:27:13.763, 2020-09-08T10:27:13.773, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0102195, 0.0102195, Passed, Numeric, 24, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
874, Get Amp Sensor Value, 2020-09-08T10:27:13.774, 2020-09-08T10:27:13.784, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.010238, 0.010238, Passed, Numeric, 23.7, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
875, Get Power Supply Sensor Value, 2020-09-08T10:27:13.786, 2020-09-08T10:27:13.801, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0152686, 0.0152686, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
876, SRAM Page 0 Check, 2020-09-08T10:27:13.805, 2020-09-08T10:27:54.254, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 40.4488, 40.4488, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
877, SRAM Page 1 Check, 2020-09-08T10:27:54.255, 2020-09-08T10:27:54.720, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.464187, 0.464187, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
878, SRAM Page 2 Check, 2020-09-08T10:27:54.721, 2020-09-08T10:27:55.119, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.397677, 0.397677, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
879, SRAM Page 3 Check, 2020-09-08T10:27:55.120, 2020-09-08T10:27:55.521, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.400659, 0.400659, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
880, Power Cycle Unit, 2020-09-08T10:27:55.522, 2020-09-08T10:28:23.937, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.4152, 28.4152, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
881, Battery Backup Test, 2020-09-08T10:28:23.939, 2020-09-08T10:28:24.980, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.04133, 1.04133, Failed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
882, Block Sensor 0 Check, 2020-09-08T10:28:24.983, 2020-09-08T10:28:24.999, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0157595, 0.0157595, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
883, Block Sensor 1 Check, 2020-09-08T10:28:24.1000, 2020-09-08T10:28:25.010, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0098371, 0.0098371, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
884, Block Sensor 2 Check, 2020-09-08T10:28:25.012, 2020-09-08T10:28:25.022, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.0102257, 0.0102257, Passed, Numeric, 52.85, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
885, Block Sensor 3 Check, 2020-09-08T10:28:25.023, 2020-09-08T10:28:25.034, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0102632, 0.0102632, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
886, Block Sensor 4 Check, 2020-09-08T10:28:25.035, 2020-09-08T10:28:25.050, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0154987, 0.0154987, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
887, Block Sensor 5 Check, 2020-09-08T10:28:25.054, 2020-09-08T10:28:25.066, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0118148, 0.0118148, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
888, TE CH0 Posistive Direction Check, 2020-09-08T10:28:25.084, 2020-09-08T10:28:25.871, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.787058, 0.787058, Passed, Numeric, 10.72063475, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
889, TE CH0 Negative Direction Check, 2020-09-08T10:28:25.874, 2020-09-08T10:28:26.649, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.77454, 0.77454, Passed, Numeric, -10.71863323333, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
890, TE CH1 Posistive Direction Check, 2020-09-08T10:28:26.653, 2020-09-08T10:28:27.421, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.767747, 0.767747, Passed, Numeric, 10.73584623333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
891, TE CH1 Negative Direction Check, 2020-09-08T10:28:27.424, 2020-09-08T10:28:28.198, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.773778, 0.773778, Passed, Numeric, -10.73348726667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
892, TE CH2 Posistive Direction Check, 2020-09-08T10:28:28.202, 2020-09-08T10:28:28.967, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.764635, 0.764635, Passed, Numeric, 10.74885905, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
893, TE CH2 Negative Direction Check, 2020-09-08T10:28:28.971, 2020-09-08T10:28:29.738, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.767777, 0.767777, Passed, Numeric, -10.7374869, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
