ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2021-11-16T21:19:20.645
endDateTime, 2021-11-16T21:34:20.045
Event ID, Error Message
Severity, 4
Error source, Error.Msg
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 899.4
ModuleTime, 899.4
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, Event ID, Severity, Error source, 
4, Load Bio Rad DLL, 2021-11-16T21:19:20.805, 2021-11-16T21:19:54.670, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 33.8649, 33.8649, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
5, Put UUT, 2021-11-16T21:19:54.678, 2021-11-16T21:20:01.361, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 6.68308, 6.68308, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
6, DC Power On, 2021-11-16T21:20:01.367, 2021-11-16T21:20:01.470, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.103055, 0.103055, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
7, AC Power On, 2021-11-16T21:20:01.472, 2021-11-16T21:20:02.930, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.45796, 1.45796, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
8, Find Attached Devices, 2021-11-16T21:20:02.941, 2021-11-16T21:20:21.210, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 18.2695, 18.2695, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, N.A, N.A, 
9, 12.8V No Load Test, 2021-11-16T21:20:21.218, 2021-11-16T21:20:22.838, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.62063, 1.62063, Passed, Numeric, 12.793794, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, 
10, 12.8V Load 30W, 2021-11-16T21:20:22.840, 2021-11-16T21:20:23.998, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.15857, 1.15857, Passed, Numeric, 12.7939798, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, N.A, N.A, 
11, 5V No Load Test, 2021-11-16T21:20:24.001, 2021-11-16T21:20:24.699, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.697439, 0.697439, Passed, Numeric, 5.07502561, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, 
12, 5V 600mA Load, 2021-11-16T21:20:24.701, 2021-11-16T21:20:25.998, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.29747, 1.29747, Passed, Numeric, 5.07504609, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, N.A, N.A, 
13, 3.3V Voltage Check, 2021-11-16T21:20:26.001, 2021-11-16T21:20:26.693, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.691972, 0.691972, Passed, Numeric, 3.32528027, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, 
14, Battery Voltage Check, 2021-11-16T21:20:26.696, 2021-11-16T21:20:27.390, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.69366, 0.69366, Passed, Numeric, 3.22073704, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, N.A, N.A, 
15, Wait 10, 2021-11-16T21:20:27.392, 2021-11-16T21:20:37.393, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.001, 10.001, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
16, Remote Command Set, 2021-11-16T21:20:37.397, 2021-11-16T21:34:16.357, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 818.96, 818.96, Aborted, Terminated, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
17, Power Off, 2021-11-16T21:34:16.357, 2021-11-16T21:34:17.893, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 1.53659, 1.53659, Aborted, Error, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
18, DC Power Off, 2021-11-16T21:34:17.893, 2021-11-16T21:34:18.821, ID#:uHxAHNpOc02A2ZVKR0dFLB, Test, Action, Cleanup, 0, 1, 0.928071, 0.928071, Aborted, Error, N.A, N.A, N.A, N.A, N.A, N.A, N.A, Error Message, 4, Error.Msg, 
19, Wait 10, 2021-11-16T21:34:18.821, 2021-11-16T21:34:20.022, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 1.20026, 1.20026, Aborted, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
