ID, administrator
name, administrator
ID, 1536
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2022-02-22T05:14:19.014
endDateTime, 2022-02-22T05:21:48.064
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 449.05
ModuleTime, 449.05
Outcome, Passed
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, ResultDataType, value, LimitComparator, LimitType, LimitValue, nonStandardUnit, LowerLimit, UpperLimit, LoopIndex, 
1537, Load Bio Rad DLL, 2022-02-22T05:14:19.050, 2022-02-22T05:14:19.052, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 0.0011987, 0.0011987, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1538, Put UUT, 2022-02-22T05:14:19.067, 2022-02-22T05:14:20.336, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 1.26907, 1.26907, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1539, DC Power On, 2022-02-22T05:14:20.343, 2022-02-22T05:14:20.660, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.316923, 0.316923, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1540, AC Power On, 2022-02-22T05:14:20.665, 2022-02-22T05:14:22.535, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.86987, 1.86987, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1541, Find Attached Devices, 2022-02-22T05:14:22.545, 2022-02-22T05:14:37.590, ID#:3/5kcZbtdEezckeONT1yKB, Test, StringValueTest, Main, 0, 4, 15.044, 15.044, Passed, String, Success, EQ, Expected, Success, N.A, N.A, N.A, N.A, 
1542, 12.8V No Load Test, 2022-02-22T05:14:37.601, 2022-02-22T05:14:38.863, ID#:s2EHM1jn9kGPV9WF3jYYlD, Test, NumericLimitTest, Main, 0, 6, 1.26173, 1.26173, Passed, Numeric, 12.8141779, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1543, 12.8V Load 30W, 2022-02-22T05:14:38.868, 2022-02-22T05:14:40.400, ID#:/PEXBGfFnUy0sBWfu6GovA, Test, NumericLimitTest, Main, 0, 7, 1.53195, 1.53195, Passed, Numeric, 12.5063971, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1544, 5V No Load Test, 2022-02-22T05:14:40.413, 2022-02-22T05:14:41.163, ID#:uT9QBRM1n0S0ZJX7F9++eA, Test, NumericLimitTest, Main, 0, 9, 0.750691, 0.750691, Passed, Numeric, 5.06460746, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1545, 5V 600mA Load, 2022-02-22T05:14:41.168, 2022-02-22T05:14:42.400, ID#:hK5y13WF/UOw/cQ9FI1UED, Test, NumericLimitTest, Main, 0, 10, 1.23217, 1.23217, Passed, Numeric, 5.0025303, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1546, 3.3V Voltage Check, 2022-02-22T05:14:42.413, 2022-02-22T05:14:43.124, ID#:dBBvwB2wHES0ifCY7PD/0B, Test, NumericLimitTest, Main, 0, 12, 0.711183, 0.711183, Passed, Numeric, 3.31643137, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1547, Battery Voltage Check, 2022-02-22T05:14:43.135, 2022-02-22T05:14:43.893, ID#:9ZyDVNqHmE+lSY/ulKlYSC, Test, NumericLimitTest, Main, 0, 14, 0.758648, 0.758648, Passed, Numeric, 3.22049269, AND, LimitPair, N.A, volt, 2.85, 3.45, N.A, 
1548, Wait 10, 2022-02-22T05:14:43.898, 2022-02-22T05:14:53.899, ID#:731Py5h0n0O4z4TxEZWZlC, SessionAction, NI_Wait, Main, 0, 15, 10.0004, 10.0004, Done, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1549, Remote Command Set, 2022-02-22T05:14:53.902, 2022-02-22T05:16:01.701, ID#:rwMhfIhvkEGEPElh2WthJB, Test, PassFailTest, Main, 0, 16, 67.7987, 67.7987, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1550, Initialize SRAM and HC12, 2022-02-22T05:16:01.707, 2022-02-22T05:16:11.204, ID#:2mvB+Nka+EKbhUY+CDsGaC, Test, PassFailTest, Main, 0, 17, 9.49711, 9.49711, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1551, I2C Read Write Test, 2022-02-22T05:16:11.215, 2022-02-22T05:16:14.124, ID#:fJAamqcq2k20eyHGphq6yD, Test, PassFailTest, Main, 0, 19, 2.90829, 2.90829, Passed, Alpha VCC, 5.0663286875, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1552, Get VCC Sensor Value, 2022-02-22T05:16:14.129, 2022-02-22T05:16:14.143, ID#:lLtihA257EqchQIoLTc4cD, Test, NumericLimitTest, Main, 0, 20, 0.0135573, 0.0135573, Passed, Numeric, 4.98736, AND, LimitPair, N.A, volt, 4.75, 5.25, N.A, 
1553, Get 15V Sensor Value, 2022-02-22T05:16:14.148, 2022-02-22T05:16:14.160, ID#:OXQvCycUQEO2wsMJkgzwsB, Test, NumericLimitTest, Main, 0, 21, 0.0123163, 0.0123163, Passed, Numeric, 13.10136, AND, LimitPair, N.A, volt, 12.16, 13.44, N.A, 
1554, Get Power Sensor Value, 2022-02-22T05:16:14.165, 2022-02-22T05:16:14.177, ID#:tq6ATEHbkk+HI/3GbKMbtB, Test, NumericLimitTest, Main, 0, 22, 0.0125798, 0.0125798, Passed, Numeric, 39.4012, AND, LimitPair, N.A, volt, 38, 42, N.A, 
1555, Lid Left Sensor Test, 2022-02-22T05:16:14.181, 2022-02-22T05:16:14.193, ID#:mtZOusQhZ0aR9DOvVCf06B, Test, NumericLimitTest, Main, 0, 23, 0.0118682, 0.0118682, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1556, Lid Right Sensor Test, 2022-02-22T05:16:14.196, 2022-02-22T05:16:14.207, ID#:DJXkLSdTrEC0jp7Z2uRpTB, Test, NumericLimitTest, Main, 0, 24, 0.0107749, 0.0107749, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1557, HS Left Sensor Test, 2022-02-22T05:16:14.210, 2022-02-22T05:16:14.227, ID#:iFTOUj6L7EuXDBSu+DhS4D, Test, NumericLimitTest, Main, 0, 25, 0.0164224, 0.0164224, Passed, Numeric, 53.1, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1558, HS Right Sensor Test, 2022-02-22T05:16:14.230, 2022-02-22T05:16:14.242, ID#:WyP2dWG4mUyCXhu6wF0rwB, Test, NumericLimitTest, Main, 0, 26, 0.0123792, 0.0123792, Passed, Numeric, 53, AND, LimitPair, N.A, N.A, 50.179, 55.456, N.A, 
1559, Get Amp2 Sensor Value, 2022-02-22T05:16:14.247, 2022-02-22T05:16:14.258, ID#:+cEzB3eXu0GAFph0u4nGdD, Test, NumericLimitTest, Main, 0, 27, 0.0115441, 0.0115441, Passed, Numeric, 21.8, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
1560, Get Amp Sensor Value, 2022-02-22T05:16:14.263, 2022-02-22T05:16:14.278, ID#:ZeBOXyeCEkK/Q4rhF/s1TC, Test, NumericLimitTest, Main, 0, 28, 0.0148057, 0.0148057, Passed, Numeric, 22.5, AND, LimitPair, N.A, degrees Celsius, 0, 50, N.A, 
1561, Get Power Supply Sensor Value, 2022-02-22T05:16:14.282, 2022-02-22T05:16:14.294, ID#:XJyw3lUbfk+DGfORDTDmaA, Test, NumericLimitTest, Main, 0, 29, 0.0116168, 0.0116168, Passed, Numeric, 25.4, AND, LimitPair, N.A, degrees Celsius, -50, 50, N.A, 
1562, SRAM Page 0 Check, 2022-02-22T05:16:14.303, 2022-02-22T05:17:01.460, ID#:3kcqtTylf0K2d4hJ13c0gD, Test, PassFailTest, Main, 0, 31, 47.1573, 47.1573, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1563, SRAM Page 1 Check, 2022-02-22T05:17:01.480, 2022-02-22T05:17:01.963, ID#:che6FvrUSUa/xqqXpET9gD, Test, PassFailTest, Main, 0, 32, 0.482859, 0.482859, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1564, SRAM Page 2 Check, 2022-02-22T05:17:01.967, 2022-02-22T05:17:02.376, ID#:cNXE9UJMRU6lposNdl02BA, Test, PassFailTest, Main, 0, 33, 0.409126, 0.409126, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1565, SRAM Page 3 Check, 2022-02-22T05:17:02.378, 2022-02-22T05:17:02.827, ID#:YqGUbJEF9EWgJpk574R7qA, Test, PassFailTest, Main, 0, 34, 0.448951, 0.448951, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1566, Power Cycle Unit, 2022-02-22T05:17:02.832, 2022-02-22T05:17:31.767, ID#:FIYuItwZckyYuf6JOYOSVD, Test, PassFailTest, Main, 0, 35, 28.9359, 28.9359, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1567, Battery Backup Test, 2022-02-22T05:17:31.773, 2022-02-22T05:17:32.989, ID#:p4VzON2s6EWvKBxp0H3nLC, Test, PassFailTest, Main, 0, 36, 1.21589, 1.21589, Passed, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, N.A, 
1568, Block Sensor 0 Check, 2022-02-22T05:17:32.1000, 2022-02-22T05:17:33.014, ID#:Sq3nktOnbEmcuPOiOZYrGC, Test, NumericLimitTest, Main, 0, 38, 0.0134553, 0.0134553, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
1569, Block Sensor 1 Check, 2022-02-22T05:17:33.019, 2022-02-22T05:17:33.031, ID#:BbHOPCRl5Um67zlPcNi5oB, Test, NumericLimitTest, Main, 0, 39, 0.0121922, 0.0121922, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
1570, Block Sensor 2 Check, 2022-02-22T05:17:33.042, 2022-02-22T05:17:33.060, ID#:d2vFO0lGmE+F/QuX5inooA, Test, NumericLimitTest, Main, 0, 40, 0.017994, 0.017994, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
1571, Block Sensor 3 Check, 2022-02-22T05:17:33.089, 2022-02-22T05:17:33.100, ID#:lGDHqMrBvEe0/XaoG1N5ZC, Test, NumericLimitTest, Main, 0, 41, 0.0105168, 0.0105168, Passed, Numeric, 52.8, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
1572, Block Sensor 4 Check, 2022-02-22T05:17:33.104, 2022-02-22T05:17:33.116, ID#:KtKGZ/k25EWm0Ydfq9zs3D, Test, NumericLimitTest, Main, 0, 42, 0.0112825, 0.0112825, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
1573, Block Sensor 5 Check, 2022-02-22T05:17:33.120, 2022-02-22T05:17:33.130, ID#:3GZetcK/dk6icYqYr6ufRC, Test, NumericLimitTest, Main, 0, 43, 0.0099377, 0.0099377, Passed, Numeric, 52.82, AND, LimitPair, N.A, degrees Celsius, 50.179, 55.456, N.A, 
1574, TE CH0 Posistive Direction Check, 2022-02-22T05:17:33.137, 2022-02-22T05:17:33.892, ID#:wft4dbLGH0OE3xVoyu02CD, Test, NumericLimitTest, Main, 0, 45, 0.754424, 0.754424, Passed, Numeric, 10.654158, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
1575, TE CH0 Negative Direction Check, 2022-02-22T05:17:33.905, 2022-02-22T05:17:34.688, ID#:LOhQjTzEUESri0TYHJJM5B, Test, NumericLimitTest, Main, 0, 46, 0.783515, 0.783515, Passed, Numeric, -10.65112306667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
1576, TE CH1 Posistive Direction Check, 2022-02-22T05:17:34.701, 2022-02-22T05:17:35.493, ID#:/UGvDafsdEWLjx/wkIcdGD, Test, NumericLimitTest, Main, 0, 47, 0.791761, 0.791761, Passed, Numeric, 10.62294076667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
1577, TE CH1 Negative Direction Check, 2022-02-22T05:17:35.505, 2022-02-22T05:17:36.308, ID#:Dja3YmK9y0WZKpGK9X0dOB, Test, NumericLimitTest, Main, 0, 48, 0.803131, 0.803131, Passed, Numeric, -10.62913598333, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
1578, TE CH2 Posistive Direction Check, 2022-02-22T05:17:36.321, 2022-02-22T05:17:37.115, ID#:KJVxC0mgxESHhK9gy2wDBD, Test, NumericLimitTest, Main, 0, 49, 0.794516, 0.794516, Passed, Numeric, 10.68149881667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
1579, TE CH2 Negative Direction Check, 2022-02-22T05:17:37.125, 2022-02-22T05:17:37.901, ID#:rm6qR2MdC0+ViheEO+3QWC, Test, NumericLimitTest, Main, 0, 50, 0.775481, 0.775481, Passed, Numeric, -10.68325515, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
1580, TE CH3 Posistive Direction Check, 2022-02-22T05:17:37.914, 2022-02-22T05:17:38.715, ID#:wRiEJh5U+Eun0KY+R/t4tC, Test, NumericLimitTest, Main, 0, 51, 0.801385, 0.801385, Passed, Numeric, 10.61773893333, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
1581, TE CH3 Negative Direction Check, 2022-02-22T05:17:38.729, 2022-02-22T05:17:39.534, ID#:coDVB3H0dkyDIE9HayPZJB, Test, NumericLimitTest, Main, 0, 52, 0.805027, 0.805027, Passed, Numeric, -10.62027541667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
1582, TE CH4 Posistive Direction Check, 2022-02-22T05:17:39.547, 2022-02-22T05:17:40.345, ID#:5MY0Qves/0Smny/+tmcmqA, Test, NumericLimitTest, Main, 0, 53, 0.798495, 0.798495, Passed, Numeric, 10.68783055, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
1583, TE CH4 Negative Direction Check, 2022-02-22T05:17:40.359, 2022-02-22T05:17:41.159, ID#:Y+gR6YcIxU+RqEpITdJ/AB, Test, NumericLimitTest, Main, 0, 54, 0.800437, 0.800437, Passed, Numeric, -10.68701246667, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
1584, TE CH5 Posistive Direction Check, 2022-02-22T05:17:41.172, 2022-02-22T05:17:42.015, ID#:BaOtgXz+REuaodw2owY5qD, Test, NumericLimitTest, Main, 0, 55, 0.843173, 0.843173, Passed, Numeric, 10.67703646667, AND, LimitPair, N.A, ampere, 10.165, 11.235, N.A, 
1585, TE CH5 Negative Direction Check, 2022-02-22T05:17:42.029, 2022-02-22T05:17:42.834, ID#:VE/CPzbXEUGoC2cohZLciB, Test, NumericLimitTest, Main, 0, 56, 0.805097, 0.805097, Passed, Numeric, -10.67787078333, AND, LimitPair, N.A, ampere, -11.235, -10.165, N.A, 
1586, TE CH0 4.9A Current Check, 2022-02-22T05:17:42.860, 2022-02-22T05:17:43.624, ID#:HXtev7hBbEqHckdeyDggjC, Test, NumericLimitTest, Main, 0, 57, 0.764378, 0.764378, Passed, Numeric, 4.91210045, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, 
1587, TE CH1 4.9A Current Check, 2022-02-22T05:17:43.634, 2022-02-22T05:17:44.431, ID#:E9ohR7rRd06h1Ub0N5DZyA, Test, NumericLimitTest, Main, 0, 58, 0.796374, 0.796374, Passed, Numeric, 4.893963333333, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, 
1588, TE CH2 4.9A Current Check, 2022-02-22T05:17:44.443, 2022-02-22T05:17:45.221, ID#:Y3I5o2JSWECvuZc5LEbuSC, Test, NumericLimitTest, Main, 0, 59, 0.777284, 0.777284, Passed, Numeric, 4.900710366667, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, 
1589, TE CH3 4.9A Current Check, 2022-02-22T05:17:45.234, 2022-02-22T05:17:46.029, ID#:cgTfSE0f50qk4vd7/g62eA, Test, NumericLimitTest, Main, 0, 60, 0.795156, 0.795156, Passed, Numeric, 4.892662333333, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, 
1590, TE CH4 4.9A Current Check, 2022-02-22T05:17:46.043, 2022-02-22T05:17:46.839, ID#:qZmQ+0ejzUCfnDZbcGD3FD, Test, NumericLimitTest, Main, 0, 61, 0.796175, 0.796175, Passed, Numeric, 4.929523133333, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, 
1591, TE CH5 4.9A Current Check, 2022-02-22T05:17:46.849, 2022-02-22T05:17:47.623, ID#:W+O0m6YLCUyKsJZATJ5u7D, Test, NumericLimitTest, Main, 0, 62, 0.774748, 0.774748, Passed, Numeric, 4.9155914, AND, LimitPair, N.A, ampere, 4.65, 5.15, N.A, 
1592, TE CH0 1.3A Current Check, 2022-02-22T05:17:47.637, 2022-02-22T05:17:48.440, ID#:zAMmmENuhU6nwXzNCkCpAB, Test, NumericLimitTest, Main, 0, 63, 0.80267, 0.80267, Passed, Numeric, 1.474267926667, AND, LimitPair, N.A, ampere, 1.214, 1.64, N.A, 
1593, TE CH1 1.3A Current Check, 2022-02-22T05:17:48.453, 2022-02-22T05:17:49.237, ID#:+mkxle4HCUuueQvr1qk9lA, Test, NumericLimitTest, Main, 0, 64, 0.784441, 0.784441, Passed, Numeric, 1.463839976667, AND, LimitPair, N.A, ampere, 1.314, 1.64, N.A, 
1594, TE CH2 1.3A Current Check, 2022-02-22T05:17:49.248, 2022-02-22T05:17:50.026, ID#:dQAAUs4UnE2mZArRjriTfB, Test, NumericLimitTest, Main, 0, 65, 0.778633, 0.778633, Passed, Numeric, 1.452466313333, AND, LimitPair, N.A, ampere, 1.314, 1.64, N.A, 
1595, TE CH3 1.3A Current Check, 2022-02-22T05:17:50.040, 2022-02-22T05:17:50.835, ID#:/oo1b9hIYEyxdUgLN0ylID, Test, NumericLimitTest, Main, 0, 66, 0.795494, 0.795494, Passed, Numeric, 1.418758955, AND, LimitPair, N.A, ampere, 1.314, 1.64, N.A, 
1596, TE CH4 1.3A Current Check, 2022-02-22T05:17:50.849, 2022-02-22T05:17:57.215, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 6.36663, 6.36663, Passed, Numeric, 1.488371355, AND, LimitPair, N.A, ampere, 1.314, 1.64, 8, 
1597, TE CH4 1.3A Current Check (Loop Index:0), 2022-02-22T05:17:50.849, 2022-02-22T05:17:51.631, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.781598, 0.781598, Passed, Numeric, 1.48769779, AND, LimitPair, N.A, ampere, 1.314, 1.64, 0, 
1598, TE CH4 1.3A Current Check (Loop Index:1), 2022-02-22T05:17:51.635, 2022-02-22T05:17:52.429, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.794515, 0.794515, Passed, Numeric, 1.487521695, AND, LimitPair, N.A, ampere, 1.314, 1.64, 1, 
1599, TE CH4 1.3A Current Check (Loop Index:2), 2022-02-22T05:17:52.433, 2022-02-22T05:17:53.221, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.787441, 0.787441, Passed, Numeric, 1.488309831667, AND, LimitPair, N.A, ampere, 1.314, 1.64, 2, 
1600, TE CH4 1.3A Current Check (Loop Index:3), 2022-02-22T05:17:53.225, 2022-02-22T05:17:54.030, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.804846, 0.804846, Passed, Numeric, 1.488621835, AND, LimitPair, N.A, ampere, 1.314, 1.64, 3, 
1601, TE CH4 1.3A Current Check (Loop Index:4), 2022-02-22T05:17:54.034, 2022-02-22T05:17:54.824, ID#:OWUY9JrbL0y0W9igGkvdlC, Test, NumericLimitTest, Main, 0, 67, 0.790681, 0.790681, Passed, Numeric, 1.488874161667, AND, LimitPair, N.A, ampere, 1.314, 1.64, 4, 
