ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-08-14T09:41:21.692
endDateTime, 2020-08-14T09:42:17.736
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 56.0446
ModuleTime, 56.0446
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2020-08-14T09:41:21.885, 2020-08-14T09:41:40.814, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 18.9293, 18.9293, Done, 
5, Put UUT, 2020-08-14T09:41:40.824, 2020-08-14T09:41:57.159, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 16.3348, 16.3348, Passed, 
6, DC Power On, 2020-08-14T09:41:57.175, 2020-08-14T09:41:58.231, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 1.05594, 1.05594, Done, 
7, AC Power On, 2020-08-14T09:41:58.233, 2020-08-14T09:42:00.279, ID#:GzbbZRerW0KsOfSjLH45uD, Test, Action, Main, 0, 2, 2.04577, 2.04577, Aborted, 
8, Power Off, 2020-08-14T09:42:00.279, 2020-08-14T09:42:02.331, ID#:+HcHQC/MrEW6zKqBfNUvNB, Test, Action, Cleanup, 0, 0, 2.05192, 2.05192, Aborted, 
9, DC Power Off, 2020-08-14T09:42:02.331, 2020-08-14T09:42:02.725, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.394685, 0.394685, Done, 
10, Wait 10, 2020-08-14T09:42:02.726, 2020-08-14T09:42:17.726, ID#:vYX24mrHDEm0g32FqlewxC, SessionAction, NI_Wait, Cleanup, 0, 2, 15.0009, 15.0009, Done, 
