ID, administrator
name, administrator
ID, 3
name, C:\Bio Rad TestStand_10041194\Main\Bio Rad Teststand.seq#MainSequence
startDateTime, 2020-09-08T18:32:28.041
endDateTime, 2020-09-08T18:33:16.202
StepType, SequenceCall
StepGrp, Main
BlockLevel, 1
Index, 9
TotalTime, 48.1616
ModuleTime, 48.1616
Outcome, Aborted
ID, name, startDateTime, endDateTime, testReferenceID, Tag, StepType, StepGrp, BlockLevel, Index, TotalTime, ModuleTime, Outcome, 
4, Load Bio Rad DLL, 2020-09-08T18:32:28.229, 2020-09-08T18:33:02.095, ID#:vjT50USnYkW0sYJ60awv0D, SessionAction, Action, Setup, 0, 0, 33.8662, 33.8662, Done, 
5, Put UUT, 2020-09-08T18:33:02.105, 2020-09-08T18:33:10.334, ID#:pCsUDaEDBUWb+mCAymOY1A, Test, PassFailTest, Main, 0, 0, 8.22927, 8.22927, Passed, 
6, DC Power On, 2020-09-08T18:33:10.351, 2020-09-08T18:33:11.245, ID#:f7l0w4KeGUuAgAdvy4llyA, SessionAction, Action, Main, 0, 1, 0.894184, 0.894184, Done, 
7, AC Power On, 2020-09-08T18:33:11.247, 2020-09-08T18:33:12.990, ID#:GzbbZRerW0KsOfSjLH45uD, SessionAction, Action, Main, 0, 2, 1.74322, 1.74322, Done, 
8, Power Off, 2020-09-08T18:33:13.744, 2020-09-08T18:33:15.593, ID#:+HcHQC/MrEW6zKqBfNUvNB, SessionAction, Action, Cleanup, 0, 0, 1.84893, 1.84893, Done, 
9, DC Power Off, 2020-09-08T18:33:15.593, 2020-09-08T18:33:15.892, ID#:uHxAHNpOc02A2ZVKR0dFLB, SessionAction, Action, Cleanup, 0, 1, 0.29881, 0.29881, Done, 
10, Wait 10, 2020-09-08T18:33:15.892, 2020-09-08T18:33:16.193, ID#:vYX24mrHDEm0g32FqlewxC, Test, NI_Wait, Cleanup, 0, 2, 0.300597, 0.300597, Aborted, 
